"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
52,0,2025065,"520110","2"
33,0,2007035,"520110","2"
57,0,2012615,"520110","2"
75,0,2026835,"520110","2"
66,0,2028624,"520110","2"
37,0,2024354,"520110","2"
53,0,2020324,"520110","2"
34,0,2161924,"520110","2"
54,0,2026964,"520110","2"
59,0,2027864,"520110","2"
49,0,2021384,"520110","2"
36,0,2023574,"520110","2"
37,0,2023574,"520110","2"
37,0,2019494,"520110","2"
26,0,2030724,"520110","2"
59,0,2037034,"520110","2"
53,0,2026424,"520110","2"
48,0,2025164,"520110","2"
36,0,2179943,"520110","2"
71,0,2177333,"520110","2"
57,0,2174983,"520110","2"
83,0,2186943,"520110","2"
84,0,2186943,"520110","2"
64,0,2179473,"520110","2"
65,0,2179473,"520110","2"
57,0,2173133,"520110","2"
51,0,2187453,"520110","2"
40,0,2171953,"520110","2"
69,0,2173943,"520110","2"
127,0,2188783,"520110","2"
52,0,2170133,"520110","2"
50,0,2183913,"520110","2"
51,0,2183913,"520110","2"
39,0,2222152,"520110","2"
67,0,2199922,"520110","2"
41,0,2223942,"520110","2"
72,0,2200884,"520110","2"
73,0,2200884,"520110","2"
45,0,2208982,"520110","2"
29,0,2207462,"520110","2"
39,0,2200272,"520110","2"
67,0,2216702,"520110","2"
46,0,2219242,"520110","2"
55,2,2201342,"520110","2"
45,0,2210512,"520110","2"
50,0,2200822,"520110","2"
33,0,2202812,"520110","2"
41,0,2227253,"520110","2"
31,0,2225515,"520110","2"
40,0,2224964,"520110","2"
51,0,2226314,"520110","2"
52,0,2226314,"520110","2"
52,0,2224152,"520110","2"
103,1,1997145,"520110","2"
103,2,1997145,"520110","2"
63,0,2009755,"520110","2"
64,0,2009755,"520110","2"
49,0,2166975,"520110","2"
45,0,2040395,"520110","2"
31,0,2157145,"520110","2"
32,0,2157145,"520110","2"
62,0,2010345,"520110","2"
42,0,2037684,"520110","2"
37,0,2018554,"520110","2"
63,0,2023214,"520110","2"
50,0,2195224,"520110","2"
50,0,2032574,"520110","2"
44,0,2225424,"520110","2"
61,0,2024764,"520110","2"
31,0,2033384,"520110","2"
54,0,2018314,"520110","2"
55,0,2018314,"520110","2"
36,0,2039084,"520110","2"
64,0,2023364,"520110","2"
64,0,2027214,"520110","2"
41,0,2194223,"520110","2"
59,0,2188633,"520110","2"
60,0,2188633,"520110","2"
