"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
48,0,2200344,"520110","2"
60,0,2216294,"520110","2"
38,0,2200384,"520110","2"
53,0,2243213,"520110","2"
53,0,2253353,"520110","2"
41,0,2225805,"520110","2"
66,0,2277513,"520110","2"
58,0,2299133,"520110","2"
56,0,2298623,"520110","2"
52,0,2253862,"520110","2"
62,0,2246452,"520110","2"
47,0,2292422,"520110","2"
50,0,2302612,"520110","2"
90,0,2193575,"520110","2"
80,2,2181035,"520110","2"
64,2,2171035,"520110","2"
84,0,2175805,"520110","2"
62,2,2191445,"520110","2"
41,0,2224654,"520110","2"
66,0,2199624,"520110","2"
67,0,2199624,"520110","2"
84,0,2222234,"520110","2"
64,0,2202774,"520110","2"
70,0,2227843,"520110","2"
54,0,2259913,"520110","2"
92,0,2264323,"520110","2"
71,0,2302393,"520110","2"
73,0,2283813,"520110","2"
74,0,2236132,"520110","2"
101,0,2253042,"520110","2"
102,0,2253042,"520110","2"
58,0,2279302,"520110","2"
69,2,2274942,"520110","2"
76,2,2334745,"520110","2"
54,0,2181705,"520110","2"
86,0,2186685,"520110","2"
87,0,2186685,"520110","2"
52,0,2175585,"520110","2"
42,0,2251374,"520110","2"
44,0,2202164,"520110","2"
50,0,2207764,"520110","2"
44,0,2199214,"520110","2"
36,0,2203084,"520110","2"
63,0,2214765,"520110","2"
29,0,2207724,"520110","2"
35,0,2250333,"520110","2"
96,0,2273653,"520110","2"
64,0,2256283,"520110","2"
55,0,2269793,"520110","2"
59,0,2299863,"520110","2"
41,0,2247122,"520110","2"
48,0,2294902,"520110","2"
49,0,2281212,"520110","2"
55,2,2176215,"520110","2"
85,0,2173325,"520110","2"
62,2,2184445,"520110","2"
51,0,2184965,"520110","2"
60,2,2201974,"520110","2"
80,2,2221084,"520110","2"
81,0,2221084,"520110","2"
46,0,2203754,"520110","2"
76,0,2199124,"520110","2"
42,1,2202374,"520110","2"
97,0,2210544,"520110","2"
67,0,2233013,"520110","2"
58,0,2258393,"520110","2"
55,0,2287423,"520110","2"
51,0,2297473,"520110","2"
44,0,2245942,"520110","2"
66,2,2271532,"520110","2"
63,0,2306002,"520110","2"
27,0,2175645,"520110","2"
107,0,2180615,"520110","2"
50,0,2219564,"520110","2"
52,0,2200484,"520110","2"
84,0,2220994,"520110","2"
70,0,2273573,"520110","2"
72,0,2273573,"520110","2"
43,0,2272623,"520110","2"
58,0,2278033,"520110","2"
59,0,2278033,"520110","2"
31,0,2282513,"520110","2"
45,0,2292062,"520110","2"
34,1,2297812,"520110","2"
32,0,2187265,"520110","2"
33,0,2187265,"520110","2"
48,1,2172925,"520110","2"
49,0,2184285,"520110","2"
54,0,2171885,"520110","2"
43,0,2209174,"520110","2"
89,0,2203985,"520110","2"
59,1,2216514,"520110","2"
59,2,2216514,"520110","2"
40,0,2205824,"520110","2"
64,0,2227534,"520110","2"
67,0,2275003,"520110","2"
68,0,2275003,"520110","2"
35,0,2260433,"520110","2"
55,0,2259383,"520110","2"
62,0,2294283,"520110","2"
31,0,2234652,"520110","2"
78,0,2236422,"520110","2"
57,0,2267372,"520110","2"
60,0,2264922,"520110","2"
54,0,2291982,"520110","2"
51,0,2287192,"520110","2"
64,0,2171615,"520110","2"
70,0,2183865,"520110","2"
40,0,2191145,"520110","2"
74,0,2175985,"520110","2"
75,0,2175985,"520110","2"
60,0,2181775,"520110","2"
52,0,2182975,"520110","2"
32,0,2188585,"520110","2"
57,0,2213084,"520110","2"
58,0,2219534,"520110","2"
68,0,2250043,"520110","2"
46,0,2273783,"520110","2"
47,0,2273783,"520110","2"
56,0,2259743,"520110","2"
52,0,2275623,"520110","2"
61,0,2296213,"520110","2"
53,0,2240962,"520110","2"
54,0,2240962,"520110","2"
63,1,2236612,"520110","2"
64,1,2236612,"520110","2"
65,1,2236612,"520110","2"
85,0,2256572,"520110","2"
60,0,2261132,"520110","2"
91,0,2303902,"520110","2"
94,0,2295702,"520110","2"
72,0,2183775,"520110","2"
60,0,2191835,"520110","2"
52,0,2192395,"520110","2"
34,0,2201364,"520110","2"
55,0,2202384,"520110","2"
56,0,2202384,"520110","2"
49,0,2222384,"520110","2"
41,0,2279373,"520110","2"
42,0,2279373,"520110","2"
58,0,2262693,"520110","2"
39,0,2266373,"520110","2"
46,0,2252852,"520110","2"
57,0,2267495,"520110","2"
54,0,2301632,"520110","2"
90,0,2174725,"520110","2"
58,0,2186125,"520110","2"
65,0,2177225,"520110","2"
43,0,2172575,"520110","2"
