"NEWID","MEMBNO","PYMT2009","HWUSED09","QSTIMPYX","PYMT_009","HWUS_D09","QSTI_PYX"
2001123,2,"2",,.,"D","A","A"
1989644,1,"2",,.,"D","A","A"
1978394,1,"1","3",250,"D","D","D"
1992854,1,"1","3",250,"D","D","D"
1992854,2,"1","3",250,"D","D","D"
2017653,1,"1","1",250,"D","D","D"
2017653,2,"1","1",250,"D","D","D"
2008843,1,"1","1",250,"D","D","D"
2005693,1,"1","1",250,"D","D","D"
1995963,1,"1","1",250,"D","D","D"
2007913,1,"1","3",250,"D","D","D"
1984144,1,"1","3",250,"D","D","D"
1988664,1,,,.,"C","A","A"
1986754,1,"1","1",250,"D","D","D"
1986754,2,"1","1",250,"D","D","D"
1980574,1,"1","3",250,"D","D","D"
1980574,2,"1","3",250,"D","D","D"
2013993,1,"1","1",250,"D","D","D"
2013993,4,"1","1",250,"D","D","D"
2013073,1,"1","3",250,"D","D","D"
2011553,1,"2",,.,"D","A","A"
2011553,2,"1","3",250,"D","D","D"
2003543,1,"2",,.,"D","A","A"
2005503,1,"2",,.,"D","A","A"
1977414,1,"1","3",250,"D","D","D"
1977414,2,"1","3",250,"D","D","D"
1988094,1,"1","3",250,"D","D","D"
1992714,1,"2",,.,"D","A","A"
1980984,1,"1","3",250,"D","D","D"
1980984,2,"1","3",250,"D","D","D"
1981884,1,"1","1",250,"D","D","D"
1979754,1,"1","3",250,"D","D","D"
2016623,3,"1","3",250,"D","D","D"
1997513,2,"2",,.,"D","A","A"
2000173,2,"1","3",250,"D","D","D"
2013803,1,"2",,.,"D","A","A"
2013803,2,"1","3",250,"D","D","D"
1995603,1,"2",,.,"D","A","A"
1995603,2,"2",,.,"D","A","A"
2014283,1,"1","1",250,"D","D","D"
2015803,1,"2",,.,"D","A","A"
1978934,1,"1","3",250,"D","D","D"
1993174,1,"1","2",250,"D","D","D"
1990684,2,"1","1",250,"D","D","D"
1981504,1,"1","2",250,"D","D","D"
1981504,2,"1","2",250,"D","D","D"
1991384,1,"1","3",250,"D","D","D"
1991384,3,"1","3",250,"D","D","D"
2013813,1,"1","1",250,"D","D","D"
2004743,2,"1","1",250,"D","D","D"
2016193,1,"1","3",250,"D","D","D"
1991024,1,"1","1",250,"D","D","D"
1983164,1,"1","1",250,"D","D","D"
1978734,1,"1","3",250,"D","D","D"
1977224,3,"1","1",250,"D","D","D"
1975684,2,"1","3",250,"D","D","D"
1983274,1,"1","1",250,"D","D","D"
1976904,2,"1","1",250,"D","D","D"
1995474,1,"1","2",250,"D","D","D"
1978224,1,"1","1",250,"D","D","D"
1978224,2,"1","1",250,"D","D","D"
1986274,7,"1","1",250,"D","D","D"
1974234,1,"1","1",250,"D","D","D"
2007654,1,"1","1",250,"D","D","D"
2007654,2,"1","3",250,"D","D","D"
1980784,1,"1","2",250,"D","D","D"
1980784,2,"1","2",250,"D","D","D"
1990544,1,"1","1",250,"D","D","D"
1990544,2,"2",,.,"D","A","A"
1982184,1,"1","2",250,"D","D","D"
1983084,2,"1","1",250,"D","D","D"
1978464,1,"1","2",250,"D","D","D"
1978464,2,"1","2",250,"D","D","D"
