"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20081",1825365,57,0,"2","420","D","10","D",29,"D","","A","","A","","A","","A"
"20081",1825405,77,0,"2","400","D","11","D",10,"D","","A","","A","","A","","A"
"20081",1825425,60,0,"1","420","D","12","D",76,"D","","A","","A","","A","","A"
"20081",1825525,57,0,"2","420","D","12","D",30,"D","","A","","A","","A","","A"
"20081",1825615,63,0,"1","430","D","10","D",.,"H","410","D","415","D","","A","","A"
"20081",1825615,63,1,"1","410","D","10","D",21,"E","","A","","A","","A","","A"
"20081",1825615,63,2,"1","420","D","10","D",44,"E","","A","","A","","A","","A"
"20081",1825665,30,0,"1","420","D","11","D",120,"D","","A","","A","","A","","A"
"20081",1825685,57,0,"1","420","D","12","D",90,"D","","A","","A","","A","","A"
"20081",1825685,58,0,"2","420","D","10","D",52,"D","","A","","A","","A","","A"
"20081",1825725,49,0,"1","420","D","01","D",38,"D","","A","","A","","A","","A"
"20081",1825845,48,0,"2","420","D","10","D",154,"D","","A","","A","","A","","A"
"20081",1825855,110,0,"1","420","D","01","D",56,"D","","A","","A","","A","","A"
"20081",1825855,111,0,"1","420","D","02","D",26,"D","","A","","A","","A","","A"
"20081",1825915,47,0,"1","420","D","10","D",78,"D","","A","","A","","A","","A"
"20081",1825925,53,0,"2","420","D","12","D",268,"D","","A","","A","","A","","A"
"20081",1825935,38,0,"1","420","D","12","D",90,"D","","A","","A","","A","","A"
"20081",1826045,44,0,"1","400","D","12","D",3,"D","","A","","A","","A","","A"
"20081",1826105,71,0,"1","430","D","12","D",.,"H","425","D","415","D","","A","","A"
"20081",1826105,71,1,"1","420","D","12","D",113,"E","","A","","A","","A","","A"
"20081",1826105,71,2,"1","420","D","12","D",36,"E","","A","","A","","A","","A"
"20081",1826255,72,0,"1","400","D","10","D",18,"D","","A","","A","","A","","A"
"20081",1826265,45,0,"1","410","D","12","D",29,"D","","A","","A","","A","","A"
"20081",1826285,56,0,"1","400","D","12","D",24,"D","","A","","A","","A","","A"
"20081",1826285,57,0,"1","420","D","12","D",203,"D","","A","","A","","A","","A"
"20081",1826315,49,0,"1","420","D","11","D",191,"D","","A","","A","","A","","A"
"20081",1826345,34,0,"1","420","D","11","D",50,"D","","A","","A","","A","","A"
"20081",1826415,79,0,"1","420","D","12","D",140,"D","","A","","A","","A","","A"
"20081",1826475,43,0,"1","420","D","01","D",40,"D","","A","","A","","A","","A"
"20081",1826535,82,0,"2","420","D","11","D",180,"D","","A","","A","","A","","A"
"20081",1826555,51,0,"1","430","D","11","D",.,"H","425","D","415","D","","A","","A"
"20081",1826555,51,1,"1","420","D","11","D",39,"E","","A","","A","","A","","A"
"20081",1826555,51,2,"1","420","D","11","D",36,"E","","A","","A","","A","","A"
"20081",1826595,93,0,"2","420","D","11","D",27,"D","","A","","A","","A","","A"
"20081",1826645,62,0,"1","420","D","12","D",82,"D","","A","","A","","A","","A"
"20081",1826775,54,0,"1","420","D","12","D",130,"D","","A","","A","","A","","A"
"20081",1826775,55,0,"2","410","D","12","D",53,"D","","A","","A","","A","","A"
"20081",1826805,56,0,"1","420","D","01","D",101,"D","","A","","A","","A","","A"
"20081",1826885,46,0,"1","420","D","12","D",200,"D","","A","","A","","A","","A"
"20081",1826895,52,0,"1","410","D","01","D",49,"D","","A","","A","","A","","A"
"20081",1826905,38,0,"1","400","D","11","D",30,"D","","A","","A","","A","","A"
"20081",1826955,52,0,"1","410","D","02","D",32,"D","","A","","A","","A","","A"
"20081",1827095,32,0,"1","420","D","02","D",55,"D","","A","","A","","A","","A"
"20081",1827315,68,0,"1","420","D","12","D",41,"D","","A","","A","","A","","A"
"20081",1827325,53,0,"1","420","D","12","D",24,"D","","A","","A","","A","","A"
"20081",1827445,49,0,"1","420","D","02","D",108,"D","","A","","A","","A","","A"
"20081",1827615,85,0,"1","400","D","10","D",12,"D","","A","","A","","A","","A"
"20081",1827665,36,0,"1","420","D","12","D",45,"D","","A","","A","","A","","A"
"20081",1827675,58,0,"1","420","D","12","D",90,"D","","A","","A","","A","","A"
"20081",1827755,78,0,"1","420","D","02","D",36,"D","","A","","A","","A","","A"
"20081",1827815,61,0,"1","420","D","11","D",97,"D","","A","","A","","A","","A"
"20081",1827835,57,0,"1","430","D","12","D",.,"H","410","D","415","D","","A","","A"
"20081",1827835,57,1,"1","410","D","12","D",49,"E","","A","","A","","A","","A"
"20081",1827835,57,2,"1","420","D","12","D",191,"E","","A","","A","","A","","A"
"20081",1827865,61,0,"1","400","D","01","D",28,"D","","A","","A","","A","","A"
"20081",1827885,72,0,"2","400","D","10","D",20,"D","","A","","A","","A","","A"
"20081",1827975,64,0,"1","400","D","02","D",18,"D","","A","","A","","A","","A"
"20081",1827985,33,0,"1","420","D","11","D",300,"D","","A","","A","","A","","A"
"20081",1828055,50,0,"1","410","D","01","D",18,"D","","A","","A","","A","","A"
"20081",1828085,72,0,"1","420","D","12","D",55,"D","","A","","A","","A","","A"
"20081",1828105,82,0,"1","420","D","01","D",112,"D","","A","","A","","A","","A"
"20081",1828105,83,0,"1","420","D","01","D",73,"D","","A","","A","","A","","A"
"20081",1828215,52,0,"1","420","D","11","D",56,"D","","A","","A","","A","","A"
"20081",1828225,72,0,"1","420","D","12","D",75,"D","","A","","A","","A","","A"
"20081",1828225,73,0,"2","400","D","10","D",33,"D","","A","","A","","A","","A"
"20081",1828315,54,0,"1","400","D","01","D",24,"D","","A","","A","","A","","A"
"20081",1828315,55,0,"1","420","D","02","D",68,"D","","A","","A","","A","","A"
"20081",1828485,45,0,"1","400","D","11","D",10,"D","","A","","A","","A","","A"
"20081",1828645,40,0,"1","420","D","12","D",250,"D","","A","","A","","A","","A"
"20081",1828655,57,0,"2","420","D","11","D",40,"D","","A","","A","","A","","A"
"20081",1828685,44,0,"1","420","D","12","D",60,"D","","A","","A","","A","","A"
"20081",1828695,85,0,"1","420","D","12","D",52,"D","","A","","A","","A","","A"
"20081",1828865,69,0,"1","420","D","12","D",55,"D","","A","","A","","A","","A"
"20081",1828875,32,0,"2","420","D","12","D",79,"D","","A","","A","","A","","A"
"20081",1828885,37,0,"1","420","D","01","D",86,"D","","A","","A","","A","","A"
"20081",1828905,40,0,"1","410","D","01","D",29,"D","","A","","A","","A","","A"
"20081",1828945,63,0,"2","420","D","11","D",160,"D","","A","","A","","A","","A"
"20081",1828995,36,0,"1","400","D","12","D",10,"D","","A","","A","","A","","A"
"20081",1829005,63,0,"1","420","D","12","D",260,"D","","A","","A","","A","","A"
"20081",1829015,65,0,"2","420","D","10","D",52,"D","","A","","A","","A","","A"
"20081",1829025,40,0,"1","410","D","10","D",29,"D","","A","","A","","A","","A"
"20081",1829065,51,0,"2","400","D","10","D",15,"D","","A","","A","","A","","A"
"20081",1829095,60,0,"1","420","D","01","D",75,"D","","A","","A","","A","","A"
