"NEWID","CUID","RBTMO","RBTMO_","RBTAMT","RBTAMT_","CHCKEFT","CHCKEFT_","HOWUSED","HOWUSED_","USDINTMO","USDINTYR"
1863515,186351,"05","D",1500,"D","1","D","1","D","08","2008"
1863525,186352,"06","D",300,"D","1","D","1","D","07","2008"
1863555,186355,"05","D",1800,"D","2","D","2","D","08","2008"
1863564,186356,"05","D",600,"D","2","D","3","D","09","2008"
1863574,186357,"05","D",1500,"D","2","D","3","D","09","2008"
1863584,186358,"05","D",1200,"D","2","D","3","D","09","2008"
1863635,186363,"06","D",600,"D","1","D","2","D","08","2008"
1863635,186363,"07","D",600,"D","1","D","2","D","08","2008"
1863665,186366,"06","D",600,"D","1","D","3","D","08","2008"
1863685,186368,"07","D",750,"D","1","D","1","D","08","2008"
1863715,186371,"07","D",1200,"D","1","D","1","D","09","2008"
1863765,186376,"07","D",400,"D","1","D","2","D","07","2008"
1863785,186378,"06","D",300,"D","1","D","3","D","07","2008"
1863795,186379,"06","D",300,"D","1","D","3","D","07","2008"
1863805,186380,"07","D",300,"D","1","D","1","D","08","2008"
1863815,186381,"07","D",1200,"D","1","D","2","D","08","2008"
1863825,186382,"07","D",1200,"D","2","D","1","D","09","2008"
1863845,186384,"06","D",600,"D","1","D","2","D","08","2008"
1863845,186384,"06","D",600,"D","1","D","2","D","08","2008"
1863905,186390,"06","D",600,"D","1","D",,"C","07","2008"
1863914,186391,"05","D",900,"D","1","D","3","D","09","2008"
1863945,186394,"06","D",1800,"D","2","D","3","D","07","2008"
1864015,186401,"05","D",1200,"D","1","D","3","D","07","2008"
1864035,186403,"06","D",900,"D","1","D","3","D","09","2008"
1864035,186403,"06","D",1200,"D","1","D","3","D","09","2008"
1864054,186405,"05","D",1500,"D","2","D","1","D","09","2008"
1864114,186411,"05","D",1800,"D","1","D","1","D","09","2008"
1864124,186412,"05","D",600,"D","2","D","3","D","09","2008"
1864135,186413,"06","D",900,"D","1","D","1","D","09","2008"
1864135,186413,"07","D",600,"D","1","D","1","D","09","2008"
1864155,186415,"05","D",1200,"D","2","D","2","D","07","2008"
1864165,186416,"06","D",1200,"D","1","D","2","D","08","2008"
1864185,186418,"05","D",1800,"D","2","D","1","D","08","2008"
1864245,186424,"05","D",300,"D","2","D","3","D","08","2008"
1864285,186428,"06","D",1200,"D","1","D","3","D","07","2008"
1864295,186429,"05","D",1200,"D","2","D","2","D","08","2008"
1864305,186430,"06","D",600,"D","2","D","3","D","08","2008"
1864325,186432,"06","D",600,"D","2","D","3","D","07","2008"
1864335,186433,"06","D",380,"D","1","D","3","D","07","2008"
1864365,186436,"05","D",600,"D","2","D","1","D","08","2008"
1864445,186444,"06","D",600,"D","2","D","2","D","07","2008"
1864455,186445,"06","D",2100,"D","2","D","2","D","08","2008"
1864485,186448,"07","D",300,"D","1","D","3","D","08","2008"
1864565,186456,"05","D",600,"D","1","D","1","D","07","2008"
1864585,186458,"06","D",1500,"D","1","D","2","D","09","2008"
1864595,186459,"08","D",300,"D","1","D","3","D","09","2008"
1864605,186460,"06","D",1500,"D","1","D","3","D","07","2008"
1864615,186461,"06","D",600,"D","1","D","1","D","09","2008"
1864635,186463,"06","D",1200,"D","1","D","1","D","07","2008"
1864655,186465,"06","D",600,"D","2","D","1","D","08","2008"
1864675,186467,"07","D",1200,"D","1","D","1","D","07","2008"
1864685,186468,"05","D",600,"D","2","D","2","D","07","2008"
1864695,186469,"06","D",600,"D","1","D","2","D","08","2008"
1864695,186469,"07","D",300,"D","1","D","2","D","08","2008"
1864725,186472,"07","D",1200,"D","1","D","2","D","09","2008"
1864745,186474,"06","D",300,"D","1","D","2","D","07","2008"
1864755,186475,"07","D",1200,"D","1","D","3","D","08","2008"
1864775,186477,"06","D",600,"D","2","D","3","D","07","2008"
1864775,186477,"06","D",600,"D","2","D","3","D","07","2008"
1864775,186477,"06","D",300,"D","2","D","3","D","07","2008"
1864775,186477,"06","D",300,"D","2","D","3","D","07","2008"
1864775,186477,"06","D",300,"D","2","D","3","D","07","2008"
1864775,186477,"06","D",300,"D","2","D","3","D","07","2008"
1864785,186478,"06","D",1500,"D","2","D","2","D","08","2008"
1864795,186479,"06","D",1200,"D","1","D","3","D","07","2008"
1864825,186482,"05","D",300,"D","2","D","1","D","07","2008"
1864865,186486,"06","D",1200,"D","1","D",,"C","07","2008"
1864974,186497,"04","D",300,"D","2","D","3","D","09","2008"
1864985,186498,"07","D",600,"D","2","D","1","D","09","2008"
1865004,186500,"05","D",1200,"D","2","D","1","D","09","2008"
1865045,186504,"06","D",600,"D",,"C",,"C","09","2008"
1865054,186505,"05","D",300,"D","1","D","3","D","09","2008"
1865155,186515,"06","D",1200,"D","1","D","3","D","08","2008"
1865165,186516,"06","D",600,"D","1","D","3","D","09","2008"
1865175,186517,"06","D",600,"D","1","D","1","D","08","2008"
1865225,186522,"06","D",1800,"D","1","D","1","D","08","2008"
1865234,186523,"05","D",1500,"D","2","D",,"A","06","2008"
1865244,186524,"05","D",105,"D","2","D","1","D","09","2008"
1865265,186526,"07","D",1200,"D","1","D","1","D","09","2008"
1865285,186528,"06","D",600,"D","2","D","2","D","08","2008"
1865305,186530,"06","D",1200,"D","2","D","3","D","07","2008"
1865335,186533,"07","D",1800,"D","2","D","1","D","09","2008"
1865385,186538,"06","D",1200,"D","1","D","2","D","07","2008"
1865394,186539,"05","D",1200,"D","2","D","1","D","09","2008"
1865424,186542,"05","D",1800,"D","2","D","3","D","09","2008"
1865455,186545,"05","D",1800,"D","1","D","3","D","08","2008"
1865495,186549,"05","D",1800,"D","2","D","3","D","07","2008"
1865505,186550,"06","D",300,"D","1","D","3","D","08","2008"
1865524,186552,"05","D",99,"D","2","D","1","D","09","2008"
1865535,186553,"06","D",330,"D","1","D","3","D","08","2008"
1865545,186554,"06","D",397,"D","2","D","3","D","07","2008"
1865555,186555,"06","D",1200,"D","1","D","2","D","09","2008"
1865564,186556,"05","D",1200,"D","2","D","1","D","09","2008"
