NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04545174,1,0,0,2021,2020,2,.15300,.15300,1,.00000,.00000,45,D,.00000,.00000,0,D,0,D,12000,D,0,D,0,D,0,D,0,D,2200,D,490,D,0,D,0,D,0,D,0,D,6400,D,-1400,0,-1800,-1000,0,0,0,0,12000,12000,12000,11707,0,1000,0,1000,0,0,0,0,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04545184,1,0,0,2021,2020,2,.03800,.03800,2,.24000,.24000,06,D,.04770,.04770,274007,D,0,D,0,D,0,D,0,D,0,D,0,D,6000,D,6529,D,0,D,0,D,2,D,2,D,24096,D,41679,11435,41738,41621,11435,11435,25237,25758,274007,274007,274007,267324,4000,4000,0,4000,0,0,0,0,249911,249911,0,0,45738,45621,45738,45621,0,0,0,0,0,0,0,0,0,0,0
04545194,1,46,0,2021,2020,2,.15300,.15300,2,.27000,.32000,34,D,.05250,.05250,130775,D,43890,D,3411,D,0,D,0,D,0,D,0,D,1700,D,135,D,0,D,1,D,2,D,2,D,10428,D,19982,8206,19408,20556,8220,8192,26724,26724,178076,178076,178076,173733,4000,4596,0,4596,0,0,0,0,178076,178076,0,0,25301,25152,25301,25152,21500,21500,12128,11832,0,0,0,0,0,0,0
04545204,1,0,0,2021,2020,0,.15300,.15300,1,.22200,.22200,41,D,.05000,.05000,0,D,0,D,0,D,25584,D,27426,D,0,D,0,D,880,D,620,D,0,D,0,D,0,D,0,D,3852,D,1555,255,665,2445,264,246,0,0,34586,34586,10184,9716,0,0,0,0,0,0,0,0,34586,34586,0,0,2465,2445,2465,2445,0,0,0,0,0,0,0,0,0,0,0
04545214,1,45,0,2021,2020,2,.15300,.15300,2,.12000,.12000,47,D,.05750,.05750,101181,D,0,D,0,D,0,D,0,D,0,D,31200,D,1100,D,0,D,0,D,1,D,2,D,2,D,1200,D,1089,4667,-241,2420,4680,4655,15481,15481,98581,98581,98581,96177,4000,6000,0,6000,0,0,0,0,98581,98581,0,0,8459,8420,8459,8420,9000,9000,0,0,0,0,0,0,0,0,0
04545264,1,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,29,D,.00000,.00000,24000,D,0,D,0,D,0,D,0,D,0,D,0,D,2600,D,0,D,0,D,0,D,0,D,0,D,2148,D,285,0,-606,1175,0,0,3672,3672,24000,24000,0,0,0,0,0,0,0,0,0,0,24000,24000,0,0,1195,1175,1195,1175,0,0,0,0,0,0,0,0,0,0,0
04545264,2,0,0,2021,2020,1,.15300,.15300,1,-.0765,-.0765,29,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-1150,0,-1800,-500,0,0,0,0,0,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04545274,1,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,02,D,.00000,.00000,36000,D,0,D,0,D,0,D,0,D,0,D,10200,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1725,0,835,2615,0,0,5508,5508,36000,36000,0,0,0,0,0,0,0,0,0,0,36000,36000,0,0,2635,2615,2635,2615,0,0,0,0,0,0,0,0,0,0,0
04545324,1,0,66,2021,2020,0,.15300,.15300,2,.22000,.22000,33,D,.07140,.07140,80000,D,100000,D,0,D,0,D,0,D,0,D,0,D,8000,D,35,D,0,D,0,D,0,D,0,D,0,D,15681,7628,13955,17406,7661,7595,27540,27540,144169,144169,144169,140653,0,0,0,0,0,0,0,0,144169,144169,0,0,17555,17406,17555,17406,16050,16050,8035,7595,0,0,0,0,0,0,0
04545334,1,0,0,2021,2020,1,.15300,.15300,2,.00000,.00000,14,D,.04950,.04950,24212,D,0,D,0,D,0,D,0,D,0,D,0,D,7400,D,84,D,0,D,0,D,0,D,0,D,3600,D,-2050,483,-3600,-500,483,483,3704,3704,24212,24212,24212,23621,0,500,0,500,0,0,0,0,24212,24212,0,0,0,0,0,0,0,0,0,0,370,361,0,0,0,0,0
