"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20121",2378945,31,0,"5","01","D","100","D",.,"A","3","D","12","D","2001","D",.,"A",.,"A",.,"A",1700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378965,60,0,"5","01","D","100","D",.,"A","3","D","08","D","1986","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379005,29,0,"5","01","D","100","D",.,"A","3","D","03","D","1964","D",.,"A",.,"A",.,"A",5230,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379095,33,0,"5","01","D","100","D",.,"A","3","D","11","D","1997","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379125,22,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",1500,"F",,"A",.,"A",,"A",.,"A",,"C",.,"A",,"A",,"A"
"20121",2379165,28,0,"5","01","D","100","D",.,"A","1","D","07","D","2003","D",.,"A",.,"A",.,"A",160,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20121",2379195,32,0,"5","01","D","100","D",.,"A","3","D",,"C","2001","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379205,25,0,"5","01","D","100","D",.,"A","3","D","09","D","1970","D",.,"A",.,"A",.,"A",499,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379225,63,0,"5","01","D","100","D",.,"A","3","D","03","D","2011","D",.,"A",.,"A",.,"A",5500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","1","D"
"20121",2379235,28,0,"5","01","D","100","D",.,"A","3","D","04","D","1979","D",.,"A",.,"A",.,"A",110,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379265,45,0,"5","01","D","100","D",.,"A","3","D",,"C","1996","D",.,"A",.,"A",.,"A",679,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379285,23,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379295,40,0,"5","01","D","100","D",.,"A","3","D",,"C","1996","D",.,"A",.,"A",.,"A",4600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379295,41,0,"5","02","D","300","D",.,"A","3","D",,"C","2004","D",.,"A",.,"A",.,"A",4500,"F","2","D",.,"A",,"A",.,"A","1","D",1,"D",,"A",,"A"
"20121",2379375,42,0,"5","01","D","100","D",.,"A","3","D","03","D","1995","D",.,"A",.,"A",.,"A",950,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379385,39,0,"5","01","D","100","D",.,"A","3","D","08","D","2001","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379405,38,0,"5","01","D","100","D",.,"A","3","D",,"C","1988","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379405,39,0,"5","02","D","300","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",17233,"V","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379425,40,0,"1","01","D","100","D",.,"A","3","D","02","D","2004","D",.,"A",.,"A",.,"A",4000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20121",2379425,41,0,"1","02","D","400","D",.,"A","3","D","10","D","2004","D",.,"A",.,"A",.,"A",675,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379435,39,0,"5","01","D","100","D",.,"A","3","D","10","D","2007","D",.,"A",.,"A",.,"A",9000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
