"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_"
"20121",2382835,34,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",3750,"2","D","D","2","D","2","D","2","D"
"20121",2383225,28,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",900,"2","D","D","2","D","2","D","2","D"
"20121",2383245,46,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",8061,"2","T","D","2","D","2","D","2","D"
"20121",2383295,62,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",525,"2","D","D","2","D","2","D","2","D"
"20121",2383445,26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2370,"2","D","D","2","D","2","D","2","D"
"20121",2383485,22,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A"
"20121",2383515,18,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D"
"20121",2383525,31,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1269,"2","F","D","2","D","2","D","2","D"
"20121",2383565,20,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",150,"2","D","D","2","D","2","D","2","D"
"20121",2383595,44,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3600,"2","D","D","2","D","2","D","2","D"
"20121",2383615,30,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1150,"2","D","D","2","D","2","D","2","D"
"20121",2383715,36,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1923,"2","D","D","2","D","2","D","2","D"
"20121",2383795,22,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1050,"2","D","D","1","D","1","D","2","D"
"20121",2383825,38,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2850,"2","D","D","2","D","2","D","2","D"
"20121",2383945,27,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2205,"2","D","D","2","D","2","D","2","D"
"20121",2383975,30,0,"1","1","D","2","D","2","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",5100,"2","D","D","2","D","2","D","2","D"
"20121",2384005,33,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D"
"20121",2384105,90,0,"6","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",0,,"D","A",,"A",,"A",,"A"
"20121",2384245,18,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2625,"2","D","D","2","D","2","D","2","D"
"20121",2384275,20,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2250,"2","D","D","2","D","2","D","2","D"
"20121",2384365,25,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","1","D",1250,"D",.,"A",0,"D",1500,"2","D","D","2","D","2","D","2","D"
"20121",2384445,37,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2715,"2","D","D","2","D","2","D","2","D"
"20121",2384475,18,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1995,"2","D","D","2","D","2","D","2","D"
"20121",2384515,25,0,"1","1","D","2","D","1","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1650,"2","D","D","2","D","2","D","2","D"
"20121",2384535,41,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",8061,"2","T","D","2","D","2","D","2","D"
"20121",2384555,45,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2100,"2","D","D","2","D","2","D","2","D"
"20121",2384605,25,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",900,"2","D","D","2","D","2","D","2","D"
"20121",2384645,32,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1650,"2","D","D","2","D","2","D","2","D"
"20121",2384665,28,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",912,"2","D","D","2","D","2","D","2","D"
"20121",2384685,25,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2580,"2","D","D","2","D","2","D","2","D"
"20121",2384975,36,0,"1","2","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A"
"20121",2385015,27,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4050,"2","D","D","2","D","2","D","2","D"
"20121",2385075,24,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",0,"2","D","D","2","D","2","D","2","D"
"20121",2385115,42,0,"1","1","D","1","D","2","D","2","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2385255,26,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A"
"20121",2385275,33,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4050,"2","D","D","2","D","2","D","2","D"
"20121",2385285,38,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2295,"2","D","D","1","D","2","D","2","D"
"20121",2385415,50,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2640,"2","D","D","2","D","2","D","2","D"
"20121",2385465,39,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1845,"2","D","D","2","D","2","D","2","D"
"20121",2385485,31,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2850,"2","D","D","2","D","2","D","2","D"
"20121",2385505,29,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1800,"2","D","D","2","D","2","D","2","D"
"20121",2385635,44,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A"
"20121",2385645,41,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1350,"2","D","D","2","D","2","D","2","D"
"20121",2385655,29,0,"1","1","D","1","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",5400,"2","D","D","1","D","2","D","2","D"
"20121",2385685,31,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4350,"2","D","D","2","D","2","D","2","D"
"20121",2385845,33,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D"
"20121",2385865,29,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","1","D",1000,"F",0.2,"D",3000,"F",.,,"A","A",,"A",,"A",,"A"
"20121",2386005,23,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2145,"2","D","D","2","D","2","D","2","D"
"20121",2386035,40,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2052,"2","D","D","2","D","2","D","2","D"
"20121",2386185,20,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3600,"2","D","D","2","D","2","D","2","D"
"20121",2386195,33,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2400,"2","D","D","2","D","2","D","2","D"
"20121",2386285,36,0,"1","1","D","1","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2750,"2","D","D","2","D","2","D","2","D"
"20121",2386305,85,0,"1","2","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",850,"2","D","D","2","D","2","D","2","D"
"20121",2386605,36,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",4050,"2","D","D","2","D","2","D","2","D"
"20121",2386625,39,0,"1","1","D","2","D","1","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2175,"2","D","D","2","D","2","D","2","D"
"20121",2386795,36,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2250,"2","D","D","2","D","2","D","2","D"
"20121",2386945,26,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1200,"2","D","D","2","D","2","D","2","D"
"20121",2386955,37,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2382,"2","D","D","2","D","2","D","2","D"
"20121",2387085,34,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",4500,"2","D","D","2","D","2","D","2","D"
"20121",2387125,25,0,"1","1","D","1","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2400,"2","D","D","2","D","2","D","2","D"
"20121",2387365,24,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",672,"2","D","D","1","D","2","D","1","D"
"20121",2387425,27,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2214,"2","D","D","2","D","2","D","2","D"
"20121",2387465,20,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1224,"2","D","D","2","D","2","D","2","D"
"20121",2387495,28,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1050,"2","D","D","2","D","2","D","2","D"
"20121",2387815,24,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1350,"2","D","D","2","D","2","D","2","D"
"20121",2387895,20,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1050,"2","D","D","2","D","2","D","2","D"
"20121",2387945,25,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",4200,"1","D","D","1","D","1","D","1","D"
