"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20121",2416054,47,0,"1",1,"D",.,"H",,"A"
"20121",2416054,47,1,"1",.,"A",24,"E","100","D"
"20121",2416054,47,2,"1",.,"A",5,"E","110","D"
"20121",2416054,47,3,"1",.,"A",18,"E","200","D"
"20121",2416054,47,4,"1",.,"A",21,"E","210","D"
"20121",2416054,47,5,"1",.,"A",32,"E","220","D"
"20121",2417084,43,0,"1",1,"D",.,"H",,"A"
"20121",2417084,43,1,"1",.,"A",80,"E","100","D"
"20121",2417084,43,2,"1",.,"A",20,"E","110","D"
"20121",2417214,32,0,"1",1,"D",.,"H",,"A"
"20121",2417214,32,1,"1",.,"A",121,"E","100","D"
"20121",2417214,32,2,"1",.,"A",29,"E","110","D"
"20121",2420314,30,0,"1",1,"D",.,"H",,"A"
"20121",2420314,30,1,"1",.,"A",292,"E","100","D"
"20121",2420314,30,2,"1",.,"A",75,"E","110","D"
"20121",2420314,30,3,"1",.,"A",229,"E","120","D"
"20121",2420314,30,4,"1",.,"A",195,"E","130","D"
"20121",2420314,30,5,"1",.,"A",93,"E","140","D"
"20121",2420314,30,6,"1",.,"A",1291,"E","150","D"
"20121",2420314,30,7,"1",.,"A",37,"E","160","D"
"20121",2420314,30,8,"1",.,"A",788,"E","190","D"
"20121",2420684,100,0,"1",5,"D",.,"H",,"A"
"20121",2420684,100,1,"1",.,"A",287,"E","200","D"
"20121",2420684,100,2,"1",.,"A",166,"E","210","D"
"20121",2420684,100,3,"1",.,"A",347,"E","220","D"
"20121",2424444,29,0,"1",1,"D",.,"H",,"A"
"20121",2424444,29,1,"1",.,"A",6,"E","120","D"
"20121",2424444,29,2,"1",.,"A",1,"E","140","D"
"20121",2424444,29,3,"1",.,"A",21,"E","150","D"
"20121",2424444,29,4,"1",.,"A",12,"E","190","D"
"20121",2424654,54,0,"1",4,"D",.,"H",,"A"
"20121",2424654,54,1,"1",.,"A",222,"E","100","D"
"20121",2424654,54,2,"1",.,"A",78,"E","110","D"
"20121",2424934,56,0,"1",1,"D",.,"H",,"A"
"20121",2424934,56,1,"1",.,"A",415,"E","100","D"
"20121",2424934,56,2,"1",.,"A",282,"E","110","D"
"20121",2424934,56,3,"1",.,"A",135,"E","120","D"
"20121",2424934,56,4,"1",.,"A",2404,"E","150","D"
"20121",2424934,56,5,"1",.,"A",1449,"E","160","D"
"20121",2424934,56,6,"1",.,"A",72,"E","170","D"
"20121",2424934,56,7,"1",.,"A",243,"E","190","D"
"20121",2425454,41,0,"1",1,"D",.,"H",,"A"
"20121",2425454,41,1,"1",.,"A",319,"E","100","D"
"20121",2425454,41,2,"1",.,"A",157,"E","110","D"
"20121",2425454,41,3,"1",.,"A",280,"E","120","D"
"20121",2425454,41,4,"1",.,"A",4,"E","140","D"
"20121",2425454,41,5,"1",.,"A",979,"E","150","D"
"20121",2425454,41,6,"1",.,"A",261,"E","190","D"
"20121",2425814,73,0,"1",1,"D",.,"H",,"A"
"20121",2425814,73,1,"1",.,"A",15,"E","200","D"
"20121",2425814,73,2,"1",.,"A",19,"E","210","D"
"20121",2425814,73,3,"1",.,"A",27,"E","220","D"
"20121",2427304,60,0,"1",1,"D",.,"H",,"A"
"20121",2427304,60,1,"1",.,"A",6,"E","120","D"
"20121",2427304,60,2,"1",.,"A",21,"E","150","D"
"20121",2427304,60,3,"1",.,"A",3,"E","190","D"
"20121",2427964,51,0,"1",1,"D",.,"H",,"A"
"20121",2427964,51,1,"1",.,"A",12,"E","100","D"
"20121",2427964,51,2,"1",.,"A",8,"E","110","D"
"20121",2427964,51,3,"1",.,"A",6,"E","120","D"
"20121",2427964,51,4,"1",.,"A",72,"E","150","D"
"20121",2427964,51,5,"1",.,"A",43,"E","160","D"
"20121",2427964,51,6,"1",.,"A",2,"E","170","D"
"20121",2427964,51,7,"1",.,"A",7,"E","190","D"
"20121",2430654,53,0,"1",1,"D",.,"H",,"A"
"20121",2430654,53,1,"1",.,"A",35,"E","200","D"
"20121",2430654,53,2,"1",.,"A",20,"E","210","D"
"20121",2430654,53,3,"1",.,"A",45,"E","220","D"
"20121",2431254,41,0,"1",1,"D",.,"H",,"A"
"20121",2431254,41,1,"1",.,"A",71,"E","200","D"
"20121",2431254,41,2,"1",.,"A",43,"E","210","D"
"20121",2431254,41,3,"1",.,"A",86,"E","220","D"
"20121",2431414,54,0,"1",1,"D",.,"H",,"A"
"20121",2431414,54,1,"1",.,"A",81,"E","100","D"
"20121",2431414,54,2,"1",.,"A",26,"E","110","D"
"20121",2431414,54,3,"1",.,"A",44,"E","120","D"
"20121",2431414,54,4,"1",.,"A",89,"E","130","D"
"20121",2431414,54,5,"1",.,"A",4,"E","140","D"
"20121",2431414,54,6,"1",.,"A",435,"E","150","D"
"20121",2431414,54,7,"1",.,"A",48,"E","160","D"
"20121",2431414,54,8,"1",.,"A",5,"E","170","D"
"20121",2431414,54,9,"1",.,"A",65,"E","190","D"
"20121",2431414,54,10,"1",.,"A",60,"E","200","D"
"20121",2431414,54,11,"1",.,"A",35,"E","210","D"
"20121",2431414,54,12,"1",.,"A",74,"E","220","D"
"20121",2433194,39,0,"1",1,"D",.,"H",,"A"
"20121",2433194,39,1,"1",.,"A",19,"E","200","D"
"20121",2433194,39,2,"1",.,"A",22,"E","210","D"
"20121",2433194,39,3,"1",.,"A",34,"E","220","D"
"20121",2433604,44,0,"1",1,"D",.,"H",,"A"
"20121",2433604,44,1,"1",.,"A",100,"E","100","D"
"20121",2433604,44,2,"1",.,"A",25,"E","110","D"
"20121",2433604,44,3,"1",.,"A",76,"E","120","D"
"20121",2433604,44,4,"1",.,"A",65,"E","130","D"
"20121",2433604,44,5,"1",.,"A",31,"E","140","D"
"20121",2433604,44,6,"1",.,"A",430,"E","150","D"
"20121",2433604,44,7,"1",.,"A",12,"E","160","D"
"20121",2433604,44,8,"1",.,"A",261,"E","190","D"
"20121",2434994,89,0,"1",2,"D",.,"H",,"A"
"20121",2434994,89,1,"1",.,"A",8,"E","100","D"
"20121",2434994,89,2,"1",.,"A",7,"E","110","D"
"20121",2435144,51,0,"1",1,"D",.,"H",,"A"
"20121",2435144,51,1,"1",.,"A",97,"E","100","D"
"20121",2435144,51,2,"1",.,"A",23,"E","110","D"
"20121",2435624,77,0,"1",1,"D",.,"H",,"A"
"20121",2435624,77,1,"1",.,"A",12,"E","100","D"
"20121",2435624,77,2,"1",.,"A",3,"E","110","D"
"20121",2436464,76,0,"1",1,"D",.,"H",,"A"
"20121",2436464,76,1,"1",.,"A",38,"E","100","D"
"20121",2436464,76,2,"1",.,"A",12,"E","110","D"
"20121",2436624,45,0,"1",1,"D",.,"H",,"A"
"20121",2436624,45,1,"1",.,"A",26,"E","100","D"
"20121",2436624,45,2,"1",.,"A",9,"E","110","D"
"20121",2437064,48,0,"1",2,"D",.,"H",,"A"
"20121",2437064,48,1,"1",.,"A",54,"E","100","D"
"20121",2437064,48,2,"1",.,"A",13,"E","110","D"
"20121",2437064,48,3,"1",.,"A",59,"E","200","D"
"20121",2437064,48,4,"1",.,"A",20,"E","210","D"
"20121",2437064,48,5,"1",.,"A",4,"E","220","D"
"20121",2437344,30,0,"1",1,"D",.,"H",,"A"
"20121",2437344,30,1,"1",.,"A",3,"E","100","D"
"20121",2437344,30,2,"1",.,"A",2,"E","110","D"
"20121",2437344,30,3,"1",.,"A",1,"E","120","D"
"20121",2437344,30,4,"1",.,"A",18,"E","150","D"
"20121",2437344,30,5,"1",.,"A",11,"E","160","D"
"20121",2437344,30,6,"1",.,"A",1,"E","190","D"
"20121",2437344,30,7,"1",.,"A",4,"E","200","D"
"20121",2437344,30,8,"1",.,"A",5,"E","210","D"
"20121",2438624,67,0,"1",1,"D",.,"H",,"A"
"20121",2438624,67,1,"1",.,"A",81,"G","100","D"
"20121",2438624,67,2,"1",.,"A",21,"G","110","D"
"20121",2438624,67,3,"1",.,"A",63,"G","120","D"
"20121",2438624,67,4,"1",.,"A",54,"G","130","D"
"20121",2438624,67,5,"1",.,"A",25,"G","140","D"
"20121",2438624,67,6,"1",.,"A",359,"G","150","D"
"20121",2438624,67,7,"1",.,"A",10,"G","160","D"
"20121",2438624,67,8,"1",.,"A",218,"G","190","D"
"20121",2438624,67,9,"1",.,"A",91,"G","200","D"
"20121",2438624,67,10,"1",.,"A",32,"G","210","D"
"20121",2438624,67,11,"1",.,"A",12,"G","220","D"
"20121",2439274,52,0,"1",1,"D",.,"H",,"A"
"20121",2439274,52,1,"1",.,"A",124,"E","100","D"
"20121",2439274,52,2,"1",.,"A",84,"E","110","D"
"20121",2439274,52,3,"1",.,"A",43,"E","120","D"
"20121",2439274,52,4,"1",.,"A",721,"E","150","D"
"20121",2439274,52,5,"1",.,"A",434,"E","160","D"
"20121",2439274,52,6,"1",.,"A",21,"E","170","D"
"20121",2439274,52,7,"1",.,"A",73,"E","190","D"
"20121",2439794,23,0,"1",1,"D",.,"H",,"A"
"20121",2439794,23,1,"1",.,"A",12,"E","200","D"
"20121",2439794,23,2,"1",.,"A",4,"E","210","D"
"20121",2439794,23,3,"1",.,"A",4,"E","220","D"
"20121",2439854,48,0,"1",13,"D",.,"H",,"A"
"20121",2439854,48,1,"1",.,"A",210,"E","100","D"
"20121",2439854,48,2,"1",.,"A",50,"E","110","D"
"20121",2440324,65,0,"1",5,"D",.,"H",,"A"
"20121",2440324,65,1,"1",.,"A",1286,"D","100","D"
"20121",2440324,65,2,"1",.,"A",427,"D","110","D"
"20121",2440324,65,3,"1",.,"A",631,"D","120","D"
"20121",2440324,65,4,"1",.,"A",4224,"T","130","D"
"20121",2440324,65,5,"1",.,"A",101,"D","140","D"
"20121",2440324,65,6,"1",.,"A",3883,"D","150","D"
"20121",2440324,65,7,"1",.,"A",673,"D","160","D"
"20121",2440324,65,8,"1",.,"A",372,"D","170","D"
"20121",2440324,65,9,"1",.,"A",363,"D","190","D"
"20121",2440324,65,10,"1",.,"A",804,"D","200","D"
"20121",2440324,65,11,"1",.,"A",1094,"D","210","D"
"20121",2440324,65,12,"1",.,"A",890,"D","220","D"
"20121",2440774,48,0,"1",1,"D",.,"H",,"A"
"20121",2440774,48,1,"1",.,"A",477,"E","100","D"
"20121",2440774,48,2,"1",.,"A",123,"E","110","D"
"20121",2441474,39,0,"1",1,"D",.,"H",,"A"
"20121",2441474,39,1,"1",.,"A",47,"E","100","D"
"20121",2441474,39,2,"1",.,"A",23,"E","110","D"
"20121",2443264,42,0,"1",1,"D",.,"H",,"A"
"20121",2443264,42,1,"1",.,"A",24,"E","100","D"
"20121",2443264,42,2,"1",.,"A",6,"E","110","D"
"20121",2443353,51,0,"1",1,"D",.,"H",,"A"
"20121",2443353,51,1,"1",.,"A",77,"E","100","D"
"20121",2443353,51,2,"1",.,"A",27,"E","110","D"
"20121",2443353,51,3,"1",.,"A",44,"E","120","D"
"20121",2443353,51,4,"1",.,"A",89,"E","130","D"
"20121",2443353,51,5,"1",.,"A",4,"E","140","D"
"20121",2443353,51,6,"1",.,"A",441,"E","150","D"
"20121",2443353,51,7,"1",.,"A",48,"E","160","D"
"20121",2443353,51,8,"1",.,"A",5,"E","170","D"
"20121",2443353,51,9,"1",.,"A",65,"E","190","D"
"20121",2444663,28,0,"1",1,"D",.,"H",,"A"
"20121",2444663,28,1,"1",.,"A",73,"E","100","D"
"20121",2444663,28,2,"1",.,"A",34,"E","110","D"
"20121",2444663,28,3,"1",.,"A",123,"E","130","D"
"20121",2445013,134,0,"1",3,"D",.,"H",,"A"
"20121",2445013,134,1,"1",.,"A",25,"E","100","D"
"20121",2445013,134,2,"1",.,"A",6,"E","110","D"
"20121",2445013,134,3,"1",.,"A",15,"E","120","D"
"20121",2445013,134,4,"1",.,"A",2,"E","140","D"
"20121",2445013,134,5,"1",.,"A",73,"E","150","D"
"20121",2445013,134,6,"1",.,"A",11,"E","190","D"
"20121",2445933,48,0,"1",1,"D",.,"H",,"A"
"20121",2445933,48,1,"1",.,"A",32,"E","100","D"
"20121",2445933,48,2,"1",.,"A",28,"E","110","D"
