"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV"
"20124",2585682,26,0,"1",1166,"F",.,"A",201,"F",336,"F",.,"A",.,"A",.,"A",.,"A",968,"F","1","D",.,"A"
"20124",2585704,40,0,"1",1950,"D",130,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1820,"D","2","D",.,"A"
"20124",2585712,21,0,"1",325,"D",0,"D",.,"A",104,"D",.,"A",.,"A",.,"A",.,"A",325,"D","2","D",.,"A"
"20124",2585722,67,0,"1",1300,"D",260,"D",.,"A",520,"D",30,"D",.,"A",.,"A",.,"A",1040,"D","2","D",30,"D"
"20124",2585732,25,0,"1",455,"D",65,"D",.,"A",260,"D",75,"D",.,"A",.,"A",.,"A",390,"D","2","D",36,"D"
"20124",2585742,53,0,"1",1495,"D",260,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1235,"D","2","D",.,"A"
"20124",2585762,41,0,"1",520,"D",39,"D",.,"A",130,"D",15,"D",.,"A",.,"A",.,"A",481,"D","2","D",60,"D"
"20124",2585802,38,0,"1",3575,"D",390,"D",.,"A",520,"D",0,"D",.,"A",.,"A",.,"A",3185,"D","2","D",120,"D"
"20124",2585822,26,0,"1",1495,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D",.,"A"
"20124",2585842,26,0,"1",130,"D",161,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",586,"F","2","D",.,"A"
"20124",2585892,34,0,"1",650,"D",0,"D",325,"D",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A"
"20124",2585922,38,0,"1",1300,"D",325,"D",.,"A",780,"D",90,"D",.,"A",.,"A",.,"A",975,"D","2","D",150,"D"
"20124",2585932,31,0,"1",650,"D",156,"D",195,"D",195,"D",0,"D",.,"A",.,"A",.,"A",494,"D","2","D",60,"D"
"20124",2585942,25,0,"1",650,"D",260,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",390,"D","2","D",.,"A"
"20124",2585952,28,0,"1",2121,"F",.,"A",.,"A",725,"F",.,"A",.,"A",.,"A",.,"A",1724,"F",,"C",.,"A"
"20124",2585962,29,0,"1",2600,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",2275,"D","2","D",60,"D"
"20124",2585972,39,0,"1",91,"D",0,"D",650,"D",65,"D",.,"A",.,"A",.,"A",.,"A",91,"D","2","D",.,"A"
"20124",2586002,57,0,"1",975,"D",325,"D",130,"D",520,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A"
"20124",2586022,30,0,"1",650,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A"
"20124",2586072,44,0,"1",1300,"D",650,"D",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A"
"20124",2586112,55,0,"1",234,"D",0,"D",.,"A",169,"D",.,"A",.,"A",.,"A",.,"A",234,"D","2","D",.,"A"
"20124",2586122,26,0,"1",2600,"D",650,"D",325,"D",0,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","1","D",.,"A"
"20124",2586132,37,0,"1",1300,"D",429,"D",650,"D",0,"D",.,"A",.,"A",.,"A",.,"A",871,"D","2","D",.,"A"
"20124",2586145,52,0,"1",1950,"D",0,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D",.,"A"
"20124",2586202,62,0,"1",2600,"D",390,"D",.,"A",650,"D",.,"A",.,"A",.,"A",325,"D",2210,"D","2","D",.,"A"
"20124",2586212,72,0,"1",1950,"D",369,"F",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1519,"F","2","D",.,"A"
"20124",2586252,79,0,"1",1950,"D",650,"D",.,"A",689,"D",0,"D",.,"A",.,"A",.,"A",1300,"D","2","D",150,"D"
"20124",2586272,71,0,"1",1426,"F",.,"A",.,"A",629,"F",.,"A",.,"A",.,"A",.,"A",1179,"F","2","D",.,"A"
"20124",2586312,31,0,"1",520,"D",104,"D",65,"D",195,"D",360,"D",.,"A",.,"A",.,"A",416,"D","2","D",60,"D"
"20124",2586322,54,0,"1",650,"D",163,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",715,"F","2","D",.,"A"
"20124",2586342,34,0,"1",650,"D",130,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D",.,"A"
"20124",2586352,44,0,"1",780,"D",0,"D",.,"A",780,"D",90,"D",.,"A",.,"A",330,"D",780,"D","2","D",24,"D"
"20124",2586362,50,0,"1",1950,"D",0,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D",.,"A"
"20124",2586422,52,0,"1",1950,"D",910,"D",780,"D",650,"D",.,"A",.,"A",.,"A",16,"D",1040,"D","2","D",.,"A"
"20124",2586442,63,0,"1",2600,"D",325,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",120,"D",2275,"D","2","D",.,"A"
"20124",2586454,38,0,"1",325,"D",0,"D",.,"A",39,"D",.,"A",.,"A",.,"A",.,"A",325,"D","2","D",.,"A"
"20124",2586472,48,0,"1",2600,"D",390,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",2210,"D","2","D",.,"A"
"20124",2586492,28,0,"1",1820,"D",260,"D",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",1560,"D","2","D",60,"D"
"20124",2586522,42,0,"1",650,"D",65,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D",.,"A"
"20124",2586532,49,0,"1",1300,"D",130,"D",.,"A",2600,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D",.,"A"
"20124",2586542,71,0,"1",1950,"D",325,"D",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",1625,"D","2","D",90,"D"
"20124",2586562,29,0,"1",2275,"D",975,"D",325,"D",520,"D",120,"D",.,"A",.,"A",.,"A",1300,"D","2","D",150,"D"
"20124",2586582,84,0,"1",1300,"D",325,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D",.,"A"
"20124",2586592,33,0,"1",780,"D",65,"D",260,"D",2600,"D",.,"A",.,"A",.,"A",.,"A",715,"D","2","D",.,"A"
"20124",2586602,58,0,"1",1625,"D",285,"F",325,"D",260,"D",.,"A",.,"A",.,"A",60,"D",1480,"F","2","D",.,"A"
"20124",2586612,31,0,"1",2600,"D",130,"D",650,"D",1950,"D",450,"D",.,"A",.,"A",.,"A",2470,"D","2","D",60,"D"
"20124",2586633,31,0,"1",390,"D",0,"D",.,"A",390,"D",120,"D",.,"A",.,"A",.,"A",390,"D","2","D",60,"D"
"20124",2586642,63,0,"1",2600,"D",520,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",2080,"D","2","D",.,"A"
"20124",2586652,50,0,"1",1040,"D",130,"D",.,"A",65,"D",120,"D",.,"A",.,"A",.,"A",910,"D","2","D",60,"D"
"20124",2586662,28,0,"1",390,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",195,"D","2","D",.,"A"
"20124",2586702,63,0,"1",910,"D",260,"D",.,"A",195,"D",21,"D",.,"A",.,"A",.,"A",650,"D","2","D",0,"D"
"20124",2586722,29,0,"1",1300,"D",390,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",910,"D","2","D",.,"A"
"20124",2586752,34,0,"1",1426,"F",.,"A",.,"A",629,"F",.,"A",3250,"D",13000,"D",.,"A",1179,"F","2","D",.,"A"
