"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX","QAFL3MCX","QAFL_MCX","QVFL3MCX","QVFL_MCX","QAGR3MCX","QAGR_MCX","QONL3MCX","QONL_MCX"
"20121",2465153,18,0,"1",.,"A",.,"A",75,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465163,21,0,"1",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",12,"D",13,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2465173,16,0,"1",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465203,31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",40,"D",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",.,"A"
"20121",2465223,19,0,"1",.,"A",.,"A",87,"F",27,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465243,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465273,27,0,"1",.,"A",.,"A",32,"D",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",.,"A",.,"A",35,"D",.,"A",.,"A",.,"A"
"20121",2465293,17,0,"1",15,"D",.,"A",55,"D",.,"A",.,"A",6,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465303,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",27,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465313,29,0,"1",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",18,"D",.,"A",.,"A",.,"A",39,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2465353,19,0,"1",.,"A",.,"A",88,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465393,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465415,19,0,"1",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465425,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",22,"D",0,"D",20,"D",4,"D",20,"D",.,"A",.,"A",.,"A"
"20121",2465523,36,0,"1",180,"D",.,"A",30,"D",.,"A",.,"A",.,"A",94,"D",.,"A",.,"A",114,"D",.,"A",40,"D",.,"A",.,"A",5,"D"
"20121",2465543,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465553,14,0,"1",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465563,40,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",12,"D",.,"A",45,"D",349,"D",.,"A",.,"A",12,"D",.,"A",.,"A",.,"A"
"20121",2465583,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",19,"D",.,"A",.,"A",200,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465605,16,0,"1",.,"A",.,"A",8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465653,15,0,"1",.,"A",.,"A",2,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465673,14,0,"1",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465693,17,0,"1",.,"A",30,"D",60,"D",.,"A",.,"A",.,"A",.,"A",7,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465703,27,0,"1",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A",21,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465763,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",12,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2465823,16,0,"1",.,"A",.,"A",350,"D",15,"D",.,"A",.,"A",100,"D",.,"A",.,"A",0,"D",40,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2465833,22,0,"1",120,"D",10,"D",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",38,"D",60,"D",.,"A",.,"A",.,"A",3,"D",.,"A"
"20121",2465863,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466023,23,0,"1",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",25,"D",51,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466103,27,0,"1",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,"D",.,"A",8,"D",6,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2466113,13,0,"1",.,"A",.,"A",92,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466133,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466163,28,0,"1",15,"D",8,"D",236,"D",.,"A",.,"A",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466193,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,"D",7,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2466213,21,0,"1",.,"A",.,"A",60,"D",60,"D",.,"A",.,"A",10,"D",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466233,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",8,"D",.,"A"
"20121",2466273,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",58,"D",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466283,15,0,"1",.,"A",.,"A",.,"A",.,"A",14,"D",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466293,21,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",51,"D"
"20121",2466303,29,0,"1",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466313,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",2,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2466333,19,0,"1",22,"D",.,"A",12,"D",56,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2466343,15,0,"1",.,"A",.,"A",.,"A",14,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466363,19,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466403,26,0,"1",140,"D",.,"A",36,"D",.,"A",.,"A",.,"A",.,"A",.,"A",14,"D",27,"D",60,"D",.,"A",20,"D",.,"A",.,"A"
"20121",2466423,24,0,"1",.,"A",.,"A",70,"D",.,"A",.,"A",.,"A",.,"A",48,"D",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466443,17,0,"1",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",210,"D",.,"A",.,"A",2,"D",.,"A",50,"D",.,"A"
"20121",2466473,23,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",10,"D",130,"D",.,"A",.,"A",28,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466563,18,0,"1",200,"D",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",10,"D",.,"A",.,"A"
"20121",2466573,28,0,"1",250,"D",.,"A",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466583,17,0,"1",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466603,20,0,"1",20,"D",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466613,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466653,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",37,"F",.,"A",.,"A",.,"A",.,"A"
"20121",2466683,25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",.,"A"
"20121",2466693,23,0,"1",80,"D",232,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",36,"D",12,"D",.,"A",30,"D",.,"A",.,"A"
"20121",2466753,23,0,"1",.,"A",.,"A",.,"A",.,"A",18,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466793,25,0,"1",162,"D",92,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466813,13,0,"1",.,"A",73,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2466833,18,0,"1",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
