"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","OTHLNDRX","OTHL_DRX","OTHDCLNX","OTHD_LNX","SAFDPSTX","SAFD_STX","TXLIMX","TXLIMX_","JLDRYNET","JLDR_NET","JDRYCNET","JDRY_NET","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","JBNKSCQV","JBNK_CQV","JTRANWQV","JTRA_WQV","JTRANSQV","JTRA_SQV","JTRANOQV","JTRA_OQV","SALONX","SALONX_","TRANWRKX","TRAN_RKX","JSUBSIDY","JSUB_IDY"
"20101",2005825,33,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",2005845,55,0,"1",.,"A",.,"A",.,"A",10,"D",.,"A",14,"D",.,"A",.,"A",.,"A",0,"D",0,"D",24,"D",60,"D",0,"D",.,"A"
"20101",2005875,78,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",2005905,60,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A"
"20101",2005935,28,0,"1",30,"D",.,"A",.,"A",35,"D",80,"D",50,"D",.,"A",.,"A",.,"A",525,"D",0,"D",0,"D",135,"D",175,"D",.,"A"
"20101",2005945,37,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",650,"D",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",2005965,79,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",130,"D",.,"A",.,"A",.,"A",615,"D",0,"D",180,"D",30,"D",205,"D",.,"A"
"20101",2006005,75,0,"1",.,"A",.,"A",50,"D",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",225,"D",.,"A",.,"A"
"20101",2006015,90,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",72,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",553,"D",.,"A",.,"A"
"20101",2006035,49,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",819,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
