"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP"
"20103",2300143,40,0,"5","01","D","100","D",.,"A","3","D","05","D","2006","D",.,"A",.,"A",.,"A",6800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300162,56,0,"5","01","D","100","D",.,"A","3","D","05","D","2005","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300292,29,0,"1","01","D","100","D",.,"A","3","D","05","D","2010","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300292,30,0,"1","02","D","300","D",.,"A","3","D","06","D","2009","D",.,"A",.,"A",.,"A",3200,"D","2","D",.,"A",,"A",.,"A","1","D",1,"D",,"A"
"20103",2300303,54,0,"5","01","D","100","D",.,"A","1","D","02","D","2009","D",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300313,30,0,"5","01","D","100","D",.,"A","3","D","01","D","1994","D",.,"A",.,"A",.,"A",1578,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300362,28,0,"5","01","D","100","D",.,"A","3","D","09","D","2005","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300413,34,0,"5","01","D","100","D",.,"A","3","D","07","D","1998","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300482,23,0,"1","01","D","100","D",.,"A","3","D","04","D","1980","D",.,"A",.,"A",.,"A",1060,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300542,33,0,"5","01","D","100","D",.,"A","3","D","09","D","2005","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300562,24,0,"5","01","D","100","D",.,"A","3","D",,"C","1998","D",.,"A",.,"A",.,"A",400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300572,40,0,"5","01","D","100","D",.,"A","3","D","09","D","1962","D",.,"A",.,"A",.,"A",3000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300583,23,0,"5","01","D","100","D",.,"A","3","D","04","D","1993","D",.,"A",.,"A",.,"A",1980,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300593,49,0,"5","01","D","100","D",.,"A","3","D","03","D","1998","D",.,"A",.,"A",.,"A",1100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300603,33,0,"5","01","D","100","D",.,"A","1","D","06","D","2005","D",.,"A",.,"A",.,"A",656,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
