"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20101",2013195,36,0,"5","01","D","100","D","2008","D",.,"A",36,"D","03","D",209,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",209,"D",209,"D",209,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","HONAB","D",,"A"
"20101",2013305,19,0,"1","01","D","100","D","2009","D",.,"A",12,"D","12","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A","10","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","SATAI","D","2010","D"
"20101",2013865,33,0,"5","01","D","100","D","2005","D",.,"A",60,"D","03","D",348,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",348,"D",348,"D",348,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAE","D",,"A"
"20101",2014795,24,0,"5","01","D","100","D","2008","D",0.75,"D",39,"D","05","D",380,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",380,"D",380,"D",380,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","NISAD","D",,"A"
"20101",2015055,36,0,"5","01","D","100","D","2008","D",.,"A",.,"C","08","D",385,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",385,"D",385,"D",385,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","BMWAA","D",,"A"
"20101",2016175,52,0,"5","01","D","110","D","2008","D",.,"A",39,"D","05","D",297,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",297,"D",297,"D",297,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBI","D",,"A"
"20101",2016295,19,0,"5","01","D","100","D","2006","D",.,"A",.,"C","12","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",176,"F",176,"F",176,"F",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A"
"20101",2016405,41,0,"5","01","D","100","D","2008","D",.,"A",48,"D","11","D",610,"D","3","D",.,"A",.,"A",2192,"D",.,"A",,"A",610,"D",610,"D",610,"D",.,"A",.,"A",.,"A",2192,"D",.,"A","VOVAH","D",,"A"
"20101",2016625,22,0,"5","01","D","110","D","2007","D",0.8,"D",39,"D","01","D",450,"D","3","D",450,"D",.,"A",.,"A",.,"A",,"A",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAQ","D",,"A"
"20101",2017055,30,0,"5","01","D","110","D","2008","D",.,"A",36,"D","06","D",391,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",391,"D",391,"D",391,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAH","D",,"A"
"20101",2017555,27,0,"5","01","D","110","D","2007","D",.,"A",24,"D","09","D",314,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",314,"D",314,"D",314,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAG","D",,"A"
"20101",2017865,42,0,"5","01","D","100","D","2009","D",.,"A",46,"D","06","D",580,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",580,"D",580,"D",580,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","MRBAV","D",,"A"
"20101",2018574,25,0,"5","01","D","110","D","2008","D",.,"A",36,"D","10","D",380,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",380,"D",380,"D",380,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORBK","D",,"A"
"20101",2019074,24,0,"5","01","D","100","D","2008","D",.,"A",36,"D","02","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",388,"F",388,"F",388,"F",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAN","D",,"A"
"20101",2019074,25,0,"5","02","D","110","D","2008","D",.,"A",36,"D","01","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",360,"F",360,"F",360,"F",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAD","D",,"A"
"20101",2019334,39,0,"5","01","D","110","D","2008","D",.,"A",36,"D","01","D",380,"D","3","D",.,"A",.,"A",.,"A",.,"A","01","D",380,"D",380,"D",380,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAI","D",,"A"
"20101",2019394,27,0,"1","01","D","100","D","2004","D",.,"A",60,"D","04","D",460,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",460,"D",460,"D",460,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAC","D",,"A"
"20101",2019874,30,0,"5","01","D","110","D","2007","D",.,"A",42,"D","12","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A","12","D",420,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAJ","D",,"A"
"20101",2020114,34,0,"5","01","D","110","D","2005","D",.,"A",60,"D","01","D",317,"D","3","D",.,"A",.,"A",.,"A",.,"A","10","D",317,"D",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A","GMCAB","D",,"A"
"20101",2020934,34,0,"5","01","D","100","D","2008","D",.,"A",36,"D","03","D",202,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",202,"D",202,"D",202,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","HONAB","D",,"A"
"20101",2021284,24,0,"5","01","D","100","D","2007","D",.,"A",36,"D","02","D",265,"D","3","D",.,"A",.,"A",800,"D",.,"A",,"A",265,"D",265,"D",265,"D",.,"A",.,"A",.,"A",800,"D",.,"A","SUBAF","D",,"A"
"20101",2021294,56,0,"5","01","D","100","D","2007","D",.,"A",36,"D","03","D",357,"D","3","D",.,"A",.,"A",10000,"D",.,"A",,"A",357,"D",357,"D",357,"D",.,"A",.,"A",.,"A",10000,"D",.,"A","BMWAB","D",,"A"
"20101",2021334,26,0,"5","01","D","100","D","2010","D",.,"A",36,"D","11","D",282,"D","3","D",.,"A",.,"A",1800,"D",.,"A",,"A",282,"D",282,"D",282,"D",.,"A",.,"A",.,"A",1800,"D",.,"A","HONAH","D",,"A"
"20101",2021794,36,0,"5","01","D","110","D","2007","D",.,"A",36,"D","11","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAO","D",,"A"
"20101",2022084,49,0,"5","01","D","110","D","2007","D",.,"A",36,"D","02","D",375,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",375,"D",375,"D",375,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","HONAC","D",,"A"
"20101",2022204,21,0,"5","01","D","110","D","2007","D",.,"A",36,"D","05","D",575,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",575,"D",575,"D",575,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAM","D",,"A"
"20101",2022224,24,0,"1","01","D","110","D","2007","D",.,"A",32,"D","04","D",670,"D","3","D",.,"A",9000,"D",.,"A",.,"A",,"A",670,"D",670,"D",670,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MRBAI","D",,"A"
"20101",2022254,26,0,"5","01","D","110","D","2009","D",.,"A",48,"D","11","D",400,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","NISAQ","D",,"A"
"20101",2023184,50,0,"5","01","D","110","D","2008","D",.,"A",36,"D","03","D",309,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",309,"D",309,"D",309,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","CHRAR","D",,"A"
"20101",2023614,39,0,"5","01","D","100","D","2007","D",.,"A",36,"D","05","D",236,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",236,"D",236,"D",236,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","HONAB","D",,"A"
"20101",2023874,31,0,"5","01","D","100","D","2008","D",.,"A",36,"D","01","D",377,"D","3","D",.,"A",18000,"D",.,"A",.,"A",,"A",377,"D",377,"D",377,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAK","D",,"A"
"20101",2024414,27,0,"5","01","D","100","D","1998","D",.,"A",.,"C","10","F",398,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",398,"D",398,"D",398,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","CHEAL","D",,"A"
"20101",2024464,25,0,"1","01","D","110","D","2007","D",.,"A",36,"D","01","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HUMAA","D",,"A"
"20101",2025024,35,0,"5","01","D","110","D","2007","D",.,"A",1,"D","01","D",9000,"D","7","D",.,"A",11500,"D",.,"A",.,"A","12","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",479,"D","JEEAH","D",,"A"
"20101",2025924,38,0,"5","01","D","100","D","2007","D",.,"A",36,"D","05","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","PONAG","D",,"A"
"20101",2025924,39,0,"5","02","D","100","D","2008","D",.,"A",36,"D","04","D",489,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",489,"D",489,"D",489,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CADAL","D",,"A"
"20101",2026284,20,0,"5","01","D","100","D","2008","D",.,"A",.,"C","12","F",1000,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",1000,"D",1000,"D",1000,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWXX","D",,"A"
