"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",1998795,17,0,"1","150","D","12","D",145,"D"
"20101",1998815,15,0,"1","170","D","12","D",100,"D"
"20101",1998815,16,0,"1","150","D","11","D",250,"D"
"20101",1998815,17,0,"1","150","D","12","D",250,"D"
"20101",1998815,18,0,"1","150","D","01","D",250,"D"
"20101",1998825,15,0,"1","160","D","13","D",10,"D"
"20101",1998835,14,0,"1","150","D","13","D",100,"D"
"20101",1998845,16,0,"1","130","D","13","D",10,"D"
"20101",1998855,16,0,"1","150","D","13","D",100,"D"
"20101",1998905,19,0,"1","150","D","12","D",50,"D"
"20101",1998955,16,0,"1","170","D","12","D",30,"D"
"20101",1998965,21,0,"1","150","D","13","D",200,"D"
"20101",1998965,22,0,"1","160","D","12","D",25,"D"
"20101",1998965,23,0,"1","160","D","01","D",100,"D"
"20101",1998965,24,0,"2","170","D","12","D",50,"D"
"20101",1999005,16,0,"1","150","D","13","D",100,"D"
"20101",1999005,17,0,"1","150","D","12","D",150,"D"
"20101",1999005,18,0,"1","150","D","12","D",25,"D"
"20101",1999005,19,0,"1","150","D","12","D",100,"D"
"20101",1999005,20,0,"1","160","D","01","D",25,"D"
"20101",1999005,21,0,"1","160","D","12","D",25,"D"
"20101",1999015,20,0,"1","170","D","10","D",30,"D"
"20101",1999065,14,0,"1","170","D","12","D",400,"D"
"20101",1999115,14,0,"1","170","D","12","D",40,"D"
"20101",1999115,15,0,"1","160","D","13","D",15,"D"
"20101",1999125,15,0,"1","170","D","12","D",1885,"D"
"20101",1999125,16,0,"1","170","D","12","D",20,"D"
"20101",1999125,17,0,"1","170","D","01","D",20,"D"
"20101",1999125,18,0,"1","150","D","13","D",300,"D"
"20101",1999125,19,0,"1","150","D","12","D",25,"D"
"20101",1999125,20,0,"1","150","D","12","D",150,"D"
"20101",1999125,21,0,"1","150","D","01","D",150,"D"
"20101",1999125,22,0,"1","150","D","11","D",40,"D"
"20101",1999125,23,0,"1","150","D","01","D",40,"D"
"20101",1999125,24,0,"1","150","D","11","D",130,"D"
"20101",1999125,25,0,"1","150","D","01","D",40,"D"
"20101",1999125,26,0,"1","150","D","01","D",52,"D"
