"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20102",2188584,30,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2190284,47,0,"1",2,"D",2000,"G",.,"A",.,"A",.,"A","2","D","1","D","2","D","2","D",.,"A",.,"A"
"20102",2190864,48,0,"1",2,"D",179,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",76,"D",.,"A"
"20102",2191864,56,0,"1",3,"D",180,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20102",2203493,42,0,"1",2,"D",.,"A",50,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",40,"D"
"20102",2205003,36,0,"1",2,"D",120,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",60,"D",.,"A"
"20102",2207693,65,0,"1",2,"D",110,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2208063,44,0,"1",2,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",120,"D",.,"A"
"20102",2209923,58,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20102",2212903,46,0,"1",3,"D",.,"A",25,"D",.,"A",48,"D","1","D","1","D","2","D","1","D",50,"D",22,"D"
"20102",2213303,40,0,"1",2,"D",900,"G",.,"A",.,"A",.,"A","2","D","1","D","2","D","2","D",300,"D",.,"A"
"20102",2215393,35,0,"1",1,"D",50,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",10,"D",.,"A"
"20102",2215833,48,0,"1",4,"D",250,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20102",2217223,30,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A","1","D","1","D","1","D","2","D",.,"A",.,"A"
"20102",2218023,47,0,"1",1,"D",98,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20102",2219543,33,0,"1",1,"D",.,"A",5,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",65,"D",.,"A"
"20102",2223553,46,0,"1",1,"D",109,"G",25,"G",39,"D",54,"G","1","D","1","D","1","D","2","D",61,"G",0,"D"
"20102",2225365,39,0,"C",10,"D",200,"D",50,"D",12,"D",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20102",2225693,67,0,"1",1,"D",41,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2226315,40,0,"1",1,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2231283,49,0,"1",65,"D",3500,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2243923,48,0,"1",4,"D",400,"D",.,"A",.,"A",20,"D",,"A",,"A",,"A",,"A",250,"D",50,"D"
"20102",2247092,46,0,"1",2,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20102",2247172,48,0,"1",1,"D",235,"D",40,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20102",2248152,57,0,"1",1,"D",50,"D",10,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",7,"D",.,"A"
"20102",2255553,38,0,"1",2,"D",80,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2270482,38,0,"1",1,"D",50,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",35,"D",5,"D"
"20102",2274122,42,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A","2","D","1","D","2","D","2","D",.,"A",.,"A"
