"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20102",2227243,29,0,"1",22,"D",.,"A",.,"A"
"20102",2227335,33,0,"1",10,"D",.,"A",.,"A"
"20102",2227484,50,0,"1",.,"A",.,"A",60,"D"
"20102",2228412,49,0,"1",.,"A",.,"A",100,"D"
"20102",2228982,35,0,"1",20,"D",.,"A",.,"A"
"20102",2229812,44,0,"1",.,"A",.,"A",15,"D"
"20102",2230682,60,0,"1",0,"D",.,"A",.,"A"
"20102",2231722,69,0,"1",10,"D",.,"A",90,"D"
"20102",2232722,39,0,"1",5,"D",0,"D",.,"A"
"20102",2232792,39,0,"1",240,"D",.,"A",.,"A"
"20102",2233242,31,0,"1",110,"D",.,"A",.,"A"
"20102",2233312,46,0,"1",0,"D",.,"A",.,"A"
"20102",2233392,47,0,"1",75,"D",.,"A",.,"A"
"20102",2234412,77,0,"1",20,"D",.,"A",.,"A"
"20102",2234782,38,0,"1",.,"A",.,"A",80,"D"
"20102",2234855,47,0,"1",.,"A",.,"A",150,"D"
"20102",2235512,30,0,"1",0,"D",.,"A",.,"A"
"20102",2236202,72,0,"1",1200,"D",.,"A",.,"A"
"20102",2236992,80,0,"1",25,"D",.,"A",.,"A"
"20102",2237122,46,0,"1",.,"A",.,"A",60,"D"
"20102",2237752,77,0,"1",.,"A",.,"A",20,"D"
"20102",2238052,24,0,"1",20,"D",.,"A",.,"A"
"20102",2238135,35,0,"1",.,"A",.,"A",25,"D"
"20102",2238142,24,0,"1",450,"D",.,"A",.,"A"
"20102",2238812,61,0,"1",40,"D",.,"A",.,"A"
"20102",2239192,45,0,"1",.,"A",.,"A",0,"D"
"20102",2239402,25,0,"1",0,"D",.,"A",.,"A"
"20102",2240182,32,0,"1",6,"D",.,"A",50,"D"
"20102",2240742,42,0,"1",20,"D",.,"A",.,"A"
"20102",2241042,57,0,"1",.,"A",.,"A",60,"D"
"20102",2241854,38,0,"1",30,"D",.,"A",.,"A"
"20102",2242774,31,0,"1",12,"D",.,"A",.,"A"
"20102",2242943,35,0,"1",.,"A",.,"A",20,"D"
"20102",2243042,40,0,"1",80,"D",4,"D",.,"A"
"20102",2243345,33,0,"1",.,"A",.,"A",194,"D"
"20102",2243362,28,0,"1",40,"D",.,"A",.,"A"
"20102",2243902,55,0,"1",.,"A",.,"A",0,"D"
"20102",2244222,55,0,"1",60,"D",.,"A",.,"A"
"20102",2245612,31,0,"1",.,"A",.,"A",150,"D"
"20102",2245722,28,0,"1",.,"A",.,"A",18,"D"
"20102",2246742,47,0,"1",.,"A",.,"A",200,"D"
"20102",2246814,45,0,"1",.,"A",.,"A",270,"D"
"20102",2247222,22,0,"1",100,"D",.,"A",.,"A"
"20102",2247703,41,0,"1",.,"A",.,"A",200,"D"
"20102",2248102,43,0,"1",.,"A",.,"A",25,"D"
"20102",2248642,53,0,"1",.,"A",.,"A",100,"D"
"20102",2248682,53,0,"1",0,"D",.,"A",.,"A"
"20102",2248854,38,0,"1",169,"D",.,"A",.,"A"
"20102",2248972,67,0,"1",0,"D",.,"A",.,"A"
"20102",2249722,53,0,"1",50,"D",.,"A",.,"A"
"20102",2250042,63,0,"1",50,"D",.,"A",100,"D"
"20102",2250322,50,0,"1",.,"A",.,"A",20,"D"
"20102",2250732,30,0,"1",.,"A",.,"A",200,"D"
"20102",2251022,63,0,"1",20,"D",.,"A",.,"A"
"20102",2251373,34,0,"1",170,"D",.,"A",.,"A"
"20102",2251743,33,0,"1",60,"D",.,"A",.,"A"
"20102",2252012,58,0,"1",.,"A",.,"A",90,"D"
"20102",2252662,37,0,"1",.,"A",.,"A",240,"D"
"20102",2252752,67,0,"1",.,"A",.,"A",0,"D"
"20102",2252902,26,0,"1",20,"D",.,"A",.,"A"
"20102",2253692,26,0,"1",0,"D",.,"A",.,"A"
"20102",2254082,44,0,"1",.,"A",.,"A",100,"D"
"20102",2254522,35,0,"1",120,"D",.,"A",.,"A"
"20102",2255305,24,0,"1",60,"D",6,"D",.,"A"
"20102",2255553,41,0,"1",.,"A",.,"A",60,"D"
"20102",2255622,65,0,"1",36,"D",.,"A",.,"A"
"20102",2255672,25,0,"1",.,"A",1,"D",.,"A"
"20102",2255712,45,0,"1",80,"D",.,"A",.,"A"
"20102",2255802,34,0,"1",.,"A",.,"A",100,"D"
"20102",2258052,29,0,"1",0,"D",.,"A",.,"A"
"20102",2259442,34,0,"1",.,"A",.,"A",30,"D"
"20102",2259852,30,0,"1",.,"A",.,"A",0,"D"
"20102",2259912,42,0,"1",3,"D",.,"A",.,"A"
"20102",2260252,37,0,"1",.,"A",.,"A",45,"D"
"20102",2261052,34,0,"1",.,"A",.,"A",0,"D"
"20102",2261572,43,0,"1",.,"A",1,"D",.,"A"
"20102",2261673,31,0,"1",0,"D",.,"A",.,"A"
"20102",2261713,45,0,"1",120,"D",.,"A",.,"A"
"20102",2262202,25,0,"1",0,"D",.,"A",.,"A"
"20102",2262372,33,0,"1",53,"D",.,"A",.,"A"
"20102",2262602,34,0,"1",50,"D",.,"A",.,"A"
"20102",2263102,38,0,"1",0,"D",.,"A",.,"A"
"20102",2263142,29,0,"1",.,"A",.,"A",20,"D"
"20102",2263232,45,0,"1",80,"D",.,"A",.,"A"
"20102",2263322,38,0,"1",110,"D",.,"A",.,"A"
"20102",2263532,42,0,"1",50,"D",.,"A",.,"A"
"20102",2263842,33,0,"1",.,"A",.,"A",75,"D"
"20102",2264992,32,0,"1",.,"A",.,"A",80,"D"
"20102",2265462,34,0,"1",60,"D",.,"A",.,"A"
"20102",2265475,37,0,"1",30,"D",.,"A",.,"A"
"20102",2265582,41,0,"1",40,"D",.,"A",20,"D"
"20102",2267242,18,0,"1",.,"A",.,"A",15,"D"
"20102",2267772,76,0,"1",77,"D",.,"A",.,"A"
"20102",2268072,59,0,"1",20,"D",.,"A",.,"A"
"20102",2268222,39,0,"1",.,"A",1,"D",.,"A"
"20102",2268352,39,0,"1",.,"A",.,"A",135,"D"
"20102",2268392,28,0,"1",.,"A",.,"A",0,"D"
"20102",2268502,49,0,"1",.,"A",.,"A",40,"D"
"20102",2268752,44,0,"1",0,"D",.,"A",.,"A"
"20102",2268772,36,0,"1",30,"D",.,"A",.,"A"
"20102",2269052,21,0,"1",0,"D",.,"A",.,"A"
"20102",2269112,46,0,"1",0,"D",.,"A",.,"A"
"20102",2269195,22,0,"1",30,"D",.,"A",.,"A"
"20102",2269632,40,0,"1",20,"D",.,"A",.,"A"
"20102",2270332,30,0,"1",0,"D",.,"A",.,"A"
"20102",2270342,30,0,"1",.,"A",.,"A",50,"D"
"20102",2270482,44,0,"1",10,"D",.,"A",.,"A"
"20102",2270862,45,0,"1",10,"D",.,"A",.,"A"
"20102",2271334,51,0,"1",40,"D",.,"A",.,"A"
"20102",2271362,55,0,"1",50,"D",.,"A",.,"A"
"20102",2271733,41,0,"1",.,"A",.,"A",0,"D"
"20102",2271782,24,0,"1",.,"A",20,"D",.,"A"
"20102",2272362,65,0,"1",20,"D",.,"A",25,"D"
"20102",2273292,37,0,"1",.,"A",1,"D",.,"A"
"20102",2274202,37,0,"1",100,"D",.,"A",.,"A"
"20102",2274372,36,0,"1",.,"A",90,"D",.,"A"
"20102",2274512,41,0,"1",.,"A",.,"A",0,"D"
"20102",2275312,29,0,"1",0,"D",.,"A",.,"A"
"20102",2275403,20,0,"1",.,"A",.,"A",50,"D"
"20102",2275632,63,0,"1",40,"D",.,"A",.,"A"
"20102",2275932,60,0,"1",0,"D",.,"A",.,"A"
"20102",2276082,24,0,"1",.,"A",.,"A",80,"D"
"20102",2276862,27,0,"1",.,"A",.,"A",50,"D"
"20102",2277362,46,0,"1",0,"D",.,"A",.,"A"
"20102",2277503,26,0,"1",.,"A",.,"A",84,"D"
"20102",2277832,24,0,"1",.,"A",.,"A",150,"D"
"20102",2278964,22,0,"1",60,"D",.,"A",.,"A"
"20102",2279012,31,0,"1",10,"D",.,"A",.,"A"
"20102",2279765,33,0,"1",50,"D",.,"A",.,"A"
"20102",2279904,40,0,"1",15,"D",.,"A",150,"D"
"20102",2280975,20,0,"1",2,"D",.,"A",.,"A"
"20102",2281082,19,0,"1",.,"A",.,"A",0,"D"
"20102",2281112,46,0,"1",.,"A",.,"A",50,"D"
"20102",2281542,35,0,"1",.,"A",.,"A",60,"D"
"20102",2281622,55,0,"1",.,"A",.,"A",35,"D"
"20102",2282382,19,0,"1",5,"D",.,"A",.,"A"
"20102",2282432,37,0,"1",150,"D",.,"A",.,"A"
"20102",2283422,39,0,"1",.,"A",.,"A",0,"D"
"20102",2283592,30,0,"1",45,"D",.,"A",.,"A"
"20102",2283945,19,0,"1",.,"A",.,"A",100,"D"
"20102",2284372,30,0,"1",.,"A",2,"D",.,"A"
"20102",2284852,30,0,"1",45,"D",.,"A",.,"A"
"20102",2285842,34,0,"1",.,"A",.,"A",40,"D"
"20102",2286222,50,0,"1",0,"D",.,"A",.,"A"
"20102",2286302,41,0,"1",.,"A",1,"D",.,"A"
"20102",2286362,39,0,"1",60,"D",.,"A",.,"A"
"20102",2286522,33,0,"1",0,"D",.,"A",.,"A"
"20102",2286642,20,0,"1",15,"D",.,"A",.,"A"
"20102",2286825,41,0,"1",4,"D",1,"D",.,"A"
"20102",2287252,36,0,"1",43,"D",.,"A",.,"A"
"20102",2287692,49,0,"1",.,"A",.,"A",60,"D"
"20102",2287912,69,0,"1",30,"D",.,"A",.,"A"
"20102",2288045,36,0,"1",40,"D",.,"A",40,"D"
"20102",2288122,59,0,"1",.,"A",.,"A",180,"D"
"20102",2288862,53,0,"1",.,"A",.,"A",20,"D"
"20102",2289552,37,0,"1",20,"D",.,"A",.,"A"
"20102",2289792,56,0,"1",25,"D",.,"A",.,"A"
"20102",2289912,44,0,"1",60,"D",.,"A",.,"A"
"20102",2289962,18,0,"1",300,"D",.,"A",.,"A"
"20102",2290013,22,0,"1",90,"D",.,"A",.,"A"
"20102",2290432,33,0,"1",5,"D",.,"A",.,"A"
"20102",2290534,24,0,"1",30,"D",.,"A",.,"A"
"20102",2291072,30,0,"1",10,"D",.,"A",.,"A"
"20102",2291992,36,0,"1",40,"D",.,"A",40,"D"
"20102",2292362,31,0,"1",.,"A",.,"A",10,"D"
"20102",2292402,41,0,"1",.,"A",.,"A",20,"D"
"20102",2292562,26,0,"1",.,"A",.,"A",0,"D"
"20102",2293232,24,0,"1",130,"D",.,"A",.,"A"
"20102",2293302,21,0,"1",20,"D",.,"A",.,"A"
"20102",2293453,22,0,"1",15,"D",.,"A",.,"A"
"20102",2293532,52,0,"1",0,"D",.,"A",.,"A"
"20102",2294602,42,0,"1",.,"A",.,"A",100,"D"
"20102",2294662,42,0,"1",.,"A",.,"A",120,"D"
"20102",2295132,46,0,"1",20,"D",.,"A",.,"A"
"20102",2295232,47,0,"1",.,"A",.,"A",19,"D"
"20102",2295472,50,0,"1",44,"D",.,"A",.,"A"
"20102",2295652,23,0,"1",150,"D",.,"A",.,"A"
"20102",2295862,47,0,"1",.,"A",.,"A",20,"D"
"20102",2296024,43,0,"1",.,"A",.,"A",80,"D"
"20102",2296252,47,0,"1",97,"D",.,"A",.,"A"
"20102",2297182,51,0,"1",80,"D",.,"A",.,"A"
"20102",2297332,23,0,"1",40,"D",.,"A",.,"A"
"20102",2297472,53,0,"1",60,"D",.,"A",.,"A"
"20102",2297892,30,0,"1",0,"D",.,"A",.,"A"
"20102",2298102,26,0,"1",40,"D",.,"A",.,"A"
"20102",2298415,25,0,"1",15,"D",.,"A",.,"A"
"20102",2298572,55,0,"1",45,"D",.,"A",.,"A"
