"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20091",1991032,16,0,"1",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991062,22,0,"1",40,"D",.,"A",16,"D",.,"A",.,"A",.,"A",60,"D",42,"D",.,"A",100,"D",.,"A"
"20091",1991073,24,0,"1",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A",75,"D",.,"A",.,"A",210,"D",.,"A"
"20091",1991082,38,0,"1",.,"A",200,"D",50,"D",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991102,16,0,"1",0,"D",.,"A",16,"D",.,"A",.,"A",.,"A",.,"A",5,"D",.,"A",.,"A",.,"A"
"20091",1991112,21,0,"1",230,"D",16,"D",50,"D",14,"D",.,"A",.,"A",.,"A",5,"D",19,"D",.,"A",.,"A"
"20091",1991163,24,0,"1",300,"D",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",6,"D"
"20091",1991173,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A"
"20091",1991182,14,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991203,17,0,"1",.,"A",18,"D",.,"A",150,"D",.,"A",.,"A",55,"D",18,"D",.,"A",75,"D",0,"D"
"20091",1991213,13,0,"1",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991225,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A"
"20091",1991242,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A"
"20091",1991262,15,0,"1",.,"A",.,"A",162,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991272,15,0,"1",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",14,"D",.,"A",.,"A",.,"A"
"20091",1991282,23,0,"1",.,"A",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A"
"20091",1991292,20,0,"1",.,"A",250,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991302,24,0,"1",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",30,"D"
"20091",1991312,22,0,"1",30,"D",.,"A",40,"D",.,"A",.,"A",.,"A",50,"D",15,"D",.,"A",50,"D",25,"D"
"20091",1991352,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",80,"D",.,"A",.,"A",25,"D",.,"A"
"20091",1991372,20,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",430,"D",.,"A"
"20091",1991415,14,0,"1",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991422,34,0,"1",200,"D",60,"D",49,"D",20,"D",30,"D",.,"A",.,"A",31,"D",.,"A",100,"D",.,"A"
"20091",1991445,19,0,"1",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",7,"D"
"20091",1991452,30,0,"1",8,"D",.,"A",76,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991462,21,0,"1",.,"A",.,"A",.,"A",25,"D",.,"A",.,"A",300,"D",.,"A",.,"A",60,"D",20,"D"
"20091",1991482,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",18,"D"
"20091",1991492,17,0,"1",0,"D",.,"A",77,"F",45,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991512,21,0,"1",.,"A",.,"A",.,"A",45,"D",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1991522,15,0,"1",.,"A",.,"A",135,"D",.,"A",.,"A",.,"A",0,"D",30,"D",.,"A",.,"A",.,"A"
"20091",1991552,21,0,"1",.,"A",.,"A",130,"D",.,"A",.,"A",.,"A",23,"D",30,"D",.,"A",40,"D",20,"D"
"20091",1991562,19,0,"1",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991572,31,0,"1",1050,"D",.,"A",450,"D",20,"D",.,"A",.,"A",20,"D",30,"D",.,"A",200,"D",.,"A"
"20091",1991595,27,0,"1",.,"A",64,"D",8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",135,"D",25,"D"
"20091",1991602,17,0,"1",150,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991615,17,0,"1",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D"
"20091",1991622,31,0,"1",60,"D",25,"D",33,"D",20,"D",.,"A",.,"A",50,"D",.,"A",70,"D",.,"A",.,"A"
"20091",1991652,16,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A"
"20091",1991672,19,0,"1",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
