"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20092",1981343,40,0,"1",650,"D",130,"D",.,"A",130,"D",151,"F",.,"A",.,"A",.,"A",520,"D","1","D"
"20092",1981353,32,0,"1",390,"D",130,"D",260,"D",650,"D",120,"D",.,"A",.,"A",.,"A",260,"D","2","D"
"20092",1981363,69,0,"1",650,"D",130,"D",52,"D",455,"D",60,"D",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1981374,33,0,"1",1560,"D",195,"D",464,"F",260,"D",.,"A",.,"A",.,"A",.,"A",1365,"D","2","D"
"20092",1981384,40,0,"1",650,"D",130,"D",.,"A",1040,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1981393,25,0,"1",650,"D",130,"D",.,"A",52,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1981403,40,0,"1",1950,"D",975,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1981423,54,0,"1",780,"D",130,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1981433,49,0,"1",2600,"D",0,"D",.,"A",260,"D",0,"D",.,"A",.,"A",.,"A",2600,"D","1","D"
"20092",1981444,35,0,"1",1300,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1981454,35,0,"1",1950,"D",130,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",1820,"D","2","D"
"20092",1981463,63,0,"1",624,"D",65,"D",.,"A",130,"D",0,"D",.,"A",.,"A",.,"A",559,"D","2","D"
"20092",1981473,40,0,"1",390,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",325,"D","1","D"
"20092",1981483,59,0,"1",2600,"D",260,"D",.,"A",1950,"D",90,"D",.,"A",.,"A",.,"A",2340,"D","2","D"
"20092",1981493,37,0,"1",845,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1981503,62,0,"1",1300,"D",195,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1105,"D","2","D"
"20092",1981513,65,0,"1",2600,"D",650,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D"
"20092",1981525,29,0,"1",975,"D",65,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",910,"D","2","D"
"20092",1981533,50,0,"1",780,"D",130,"D",260,"D",520,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1981543,29,0,"1",260,"D",130,"D",65,"D",104,"D",.,"A",.,"A",.,"A",.,"A",130,"D","2","D"
"20092",1981553,20,0,"1",390,"D",65,"D",130,"D",780,"D",0,"D",.,"A",.,"A",.,"A",325,"D","2","D"
"20092",1981573,59,0,"1",2600,"D",650,"D",.,"A",0,"D",.,"A",.,"A",.,"A",360,"D",1950,"D","2","D"
"20092",1981583,50,0,"1",845,"D",260,"D",455,"D",390,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D"
"20092",1981593,46,0,"1",780,"D",130,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1981613,57,0,"1",2600,"D",975,"D",.,"A",975,"D",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D"
"20092",1981633,50,0,"1",2600,"D",65,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",2535,"D","2","D"
"20092",1981643,71,0,"1",1040,"D",130,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",910,"D","2","D"
"20092",1981653,46,0,"1",1950,"D",780,"D",.,"A",585,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20092",1981664,40,0,"1",1300,"D",260,"D",260,"D",1300,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1981674,31,0,"1",975,"D",0,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1981683,41,0,"1",1560,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1981693,59,0,"1",2600,"D",1300,"D",.,"A",390,"D",60,"D",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1981713,61,0,"1",2600,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",330,"D",2275,"D","2","D"
"20092",1981723,53,0,"1",780,"D",156,"D",39,"D",156,"D",0,"D",.,"A",.,"A",.,"A",624,"D","2","D"
"20092",1981734,42,0,"1",1587,"F",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",180,"D",1359,"F","2","D"
"20092",1981743,55,0,"1",2782,"D",296,"F",.,"A",2548,"D",.,"A",.,"A",.,"A",.,"A",1102,"F","2","D"
"20092",1981753,27,0,"1",390,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",390,"D","2","D"
"20092",1981763,54,0,"1",1625,"D",195,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1430,"D","2","D"
"20092",1981773,35,0,"1",975,"D",130,"D",.,"A",390,"D",.,"A",.,"A",.,"A",260,"D",845,"D","2","D"
"20092",1981784,37,0,"1",325,"D",39,"D",65,"D",130,"D",.,"A",.,"A",.,"A",.,"A",286,"D","2","D"
"20092",1981793,83,0,"1",1300,"D",130,"D",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20092",1981803,51,0,"1",1950,"D",325,"D",195,"D",650,"D",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D"
"20092",1981823,46,0,"1",975,"D",260,"D",325,"D",325,"D",90,"D",.,"A",.,"A",.,"A",715,"D","2","D"
"20092",1981833,42,0,"1",715,"D",195,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1981853,67,0,"1",1300,"D",325,"D",.,"A",130,"D",.,"A",48,"D",192,"D",.,"A",975,"D","2","D"
"20092",1981863,52,0,"1",1300,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1981873,34,0,"1",1560,"D",156,"D",390,"D",650,"D",150,"D",.,"A",.,"A",.,"A",1404,"D","2","D"
"20092",1981883,22,0,"1",260,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",195,"D","2","D"
"20092",1981913,47,0,"1",1287,"F",.,"A",.,"A",635,"D",.,"A",.,"A",.,"A",.,"A",1066,"F","2","D"
"20092",1981923,30,0,"1",325,"D",0,"D",.,"A",169,"D",.,"A",.,"A",.,"A",.,"A",325,"D","2","D"
"20092",1981933,23,0,"1",260,"D",65,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",195,"D","2","D"
"20092",1981943,70,0,"1",1300,"D",650,"D",.,"A",1300,"D",300,"D",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1981953,42,0,"1",1300,"D",260,"D",65,"D",130,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1981963,60,0,"1",650,"D",130,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1981993,37,0,"1",1560,"D",130,"D",130,"D",325,"D",.,"A",.,"A",.,"A",.,"A",1430,"D","2","D"
"20092",1982003,37,0,"1",325,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",325,"D","2","D"
"20092",1982013,44,0,"1",845,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",845,"D","2","D"
"20092",1982024,60,0,"1",1560,"D",260,"D",.,"A",780,"D",120,"D",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1982033,52,0,"1",650,"D",0,"D",195,"D",715,"D",0,"D",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1982043,33,0,"1",260,"D",65,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",195,"D","2","D"
"20092",1982053,30,0,"1",780,"D",65,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",715,"D","2","D"
"20092",1982073,33,0,"1",1300,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20092",1982095,42,0,"1",845,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1982103,92,0,"1",2340,"D",390,"D",.,"A",260,"D",15,"D",.,"A",.,"A",12,"D",1950,"D","2","D"
"20092",1982123,86,0,"1",2600,"D",260,"D",.,"A",1300,"D",45,"D",.,"A",.,"A",312,"D",2340,"D","2","D"
"20092",1982153,34,0,"1",390,"D",65,"D",.,"A",1950,"D",.,"A",.,"A",.,"A",.,"A",325,"D","2","D"
"20092",1982163,36,0,"1",1300,"D",403,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1772,"F","2","D"
