PURCHASED,NEWID,UCC,AGE_REF,BLS_URBN,EDUC_REF,FAM_TYPE,HRSPRWK1,FAM_SIZE,FINCBEFX
0,4719492,20510,21.0,1.0,13.0,8.0,15.0,1.0,3000.0
0,4785031,20510,48.0,1.0,15.0,3.0,8.0,3.0,9480.0
0,4785032,20510,48.0,1.0,15.0,3.0,8.0,3.0,9480.0
0,4981641,20510,24.0,1.0,12.0,1.0,40.0,2.0,0.0
0,4981642,20510,72.0,1.0,12.0,1.0,40.0,2.0,0.0
0,4883341,20510,48.0,1.0,15.0,9.0,40.0,3.0,113000.0
0,4883342,20510,48.0,1.0,15.0,9.0,40.0,3.0,113000.0
0,4785052,20510,36.0,1.0,12.0,7.0,40.0,2.0,0.0
0,4850591,20510,66.0,1.0,12.0,1.0,0.0,2.0,44904.0
0,4785061,20510,51.0,1.0,12.0,8.0,0.0,1.0,1992.0
0,4785062,20510,51.0,1.0,12.0,8.0,0.0,1.0,1992.0
0,4981671,20510,52.0,1.0,16.0,3.0,70.0,3.0,1112572.0
0,4981672,20510,52.0,1.0,16.0,3.0,70.0,3.0,1112572.0
0,4785071,20510,33.0,1.0,15.0,9.0,44.0,3.0,55200.0
0,4785072,20510,33.0,1.0,15.0,9.0,44.0,3.0,55200.0
0,4785081,20510,35.0,1.0,11.0,8.0,55.0,1.0,21500.0
0,4785082,20510,35.0,1.0,11.0,8.0,55.0,1.0,21500.0
0,4850622,20510,67.0,1.0,12.0,9.0,35.0,3.0,168503.0
0,4719551,20510,74.0,1.0,13.0,8.0,0.0,1.0,25782.0
0,4719552,20510,74.0,1.0,13.0,8.0,0.0,1.0,25782.0
0,4850641,20510,71.0,1.0,12.0,8.0,0.0,1.0,69170.0
0,4850642,20510,71.0,1.0,12.0,8.0,0.0,1.0,69170.0
0,4883411,20510,30.0,1.0,15.0,9.0,20.0,2.0,24000.0
0,4883412,20510,30.0,1.0,15.0,9.0,20.0,2.0,24000.0
0,4785111,20510,62.0,1.0,11.0,8.0,0.0,1.0,2840.0
0,4785112,20510,62.0,1.0,11.0,8.0,0.0,1.0,2840.0
0,4883421,20510,58.0,2.0,12.0,1.0,40.0,2.0,1535.0
0,4719582,20510,20.0,1.0,12.0,8.0,20.0,1.0,0.0
0,4883422,20510,58.0,2.0,12.0,1.0,40.0,2.0,1535.0
0,4785121,20510,49.0,1.0,15.0,7.0,40.0,2.0,0.0
0,4719591,20510,32.0,1.0,12.0,8.0,40.0,1.0,28000.0
0,4719592,20510,32.0,1.0,12.0,8.0,40.0,1.0,28000.0
0,4981741,20510,79.0,1.0,13.0,8.0,0.0,1.0,22182.0
0,4981742,20510,79.0,1.0,13.0,8.0,0.0,1.0,22182.0
0,4850671,20510,41.0,1.0,12.0,2.0,60.0,3.0,140000.0
0,4850672,20510,41.0,1.0,12.0,2.0,60.0,3.0,140000.0
0,4785141,20510,36.0,1.0,12.0,1.0,0.0,2.0,0.0
0,4850681,20510,50.0,1.0,16.0,7.0,45.0,2.0,188000.0
0,4850682,20510,50.0,1.0,16.0,7.0,45.0,2.0,188000.0
0,4883452,20510,48.0,1.0,12.0,8.0,40.0,1.0,34000.0
0,4850691,20510,42.0,2.0,12.0,4.0,60.0,5.0,108800.0
0,4850701,20510,82.0,1.0,12.0,8.0,0.0,1.0,23280.0
0,4850702,20510,82.0,1.0,12.0,8.0,0.0,1.0,23280.0
0,4883471,20510,62.0,1.0,16.0,9.0,0.0,3.0,63000.0
0,4785171,20510,87.0,1.0,15.0,8.0,0.0,1.0,8382.0
0,4785172,20510,87.0,1.0,15.0,8.0,0.0,1.0,8382.0
0,4719641,20510,55.0,1.0,15.0,7.0,20.0,2.0,26200.0
0,4719642,20510,55.0,1.0,15.0,7.0,20.0,2.0,26200.0
0,4719651,20510,56.0,1.0,15.0,1.0,50.0,2.0,0.0
0,4719652,20510,56.0,1.0,15.0,1.0,50.0,2.0,0.0
0,4883491,20510,27.0,1.0,12.0,7.0,40.0,3.0,12840.0
0,4883492,20510,27.0,1.0,12.0,7.0,40.0,3.0,12840.0
0,4785192,20510,69.0,1.0,16.0,1.0,40.0,2.0,267982.0
0,4981801,20510,60.0,1.0,16.0,9.0,40.0,4.0,113001.0
0,4719661,20510,77.0,1.0,14.0,8.0,24.0,1.0,40088.0
0,4883522,20510,30.0,1.0,15.0,3.0,40.0,4.0,40000.0
0,4785221,20510,44.0,1.0,15.0,1.0,50.0,2.0,0.0
0,4785222,20510,73.0,1.0,13.0,1.0,50.0,2.0,0.0
0,4719691,20510,77.0,1.0,14.0,1.0,0.0,2.0,15988.0
0,4785241,20510,77.0,1.0,15.0,8.0,0.0,1.0,60182.0
0,4850781,20510,30.0,1.0,16.0,9.0,40.0,2.0,113100.0
0,4850782,20510,30.0,1.0,16.0,9.0,40.0,2.0,113100.0
0,4719721,20510,25.0,1.0,15.0,8.0,35.0,1.0,115000.0
0,4719722,20510,25.0,1.0,15.0,8.0,35.0,1.0,115000.0
0,4785261,20510,81.0,1.0,13.0,1.0,0.0,2.0,17844.0
0,4719731,20510,66.0,1.0,12.0,8.0,0.0,1.0,14874.0
0,4785271,20510,34.0,1.0,16.0,8.0,35.0,1.0,92000.0
0,4785272,20510,34.0,1.0,16.0,8.0,35.0,1.0,92000.0
0,4981901,20510,68.0,1.0,15.0,1.0,0.0,2.0,126240.0
0,4981902,20510,68.0,1.0,15.0,1.0,0.0,2.0,126240.0
0,4850831,20510,46.0,1.0,15.0,3.0,60.0,4.0,95000.0
0,4850832,20510,46.0,1.0,15.0,3.0,60.0,4.0,95000.0
0,4785311,20510,34.0,1.0,13.0,8.0,37.0,1.0,30000.0
0,4785312,20510,34.0,1.0,13.0,8.0,37.0,1.0,30000.0
0,4719781,20510,43.0,1.0,16.0,3.0,45.0,4.0,270000.0
0,4719782,20510,43.0,1.0,16.0,3.0,45.0,4.0,270000.0
0,4785321,20510,44.0,1.0,15.0,4.0,40.0,4.0,353420.0
0,4785322,20510,44.0,1.0,15.0,4.0,40.0,4.0,353420.0
0,4981942,20510,76.0,1.0,13.0,8.0,0.0,1.0,20530.0
0,4883671,20510,28.0,1.0,13.0,1.0,40.0,2.0,508168.0
0,4883672,20510,28.0,1.0,13.0,1.0,40.0,2.0,508168.0
0,4785371,20510,18.0,1.0,12.0,9.0,10.0,6.0,4094.0
0,4981981,20510,42.0,1.0,13.0,9.0,0.0,3.0,34000.0
0,4981982,20510,42.0,1.0,13.0,9.0,0.0,3.0,34000.0
0,4850911,20510,58.0,1.0,13.0,4.0,40.0,3.0,0.0
0,4850912,20510,58.0,1.0,13.0,4.0,40.0,3.0,0.0
0,4719841,20510,56.0,1.0,15.0,1.0,40.0,2.0,0.0
0,4981991,20510,75.0,1.0,13.0,8.0,0.0,1.0,47818.0
0,4981992,20510,75.0,1.0,13.0,8.0,0.0,1.0,47818.0
0,4719851,20510,32.0,1.0,15.0,3.0,30.0,5.0,44005.0
0,4785391,20510,48.0,1.0,16.0,8.0,38.0,1.0,70000.0
0,4785392,20510,48.0,1.0,16.0,8.0,38.0,1.0,70000.0
0,4883701,20510,26.0,1.0,15.0,8.0,36.0,1.0,36000.0
0,4883702,20510,26.0,1.0,15.0,8.0,36.0,1.0,36000.0
0,4719881,20510,67.0,1.0,13.0,8.0,0.0,1.0,21582.0
0,4719882,20510,67.0,1.0,13.0,8.0,0.0,1.0,21582.0
0,4850971,20510,48.0,1.0,14.0,9.0,40.0,3.0,60000.0
0,4850972,20510,48.0,1.0,14.0,9.0,40.0,3.0,60000.0
0,4719901,20510,59.0,1.0,16.0,1.0,0.0,2.0,144200.0
0,4719902,20510,59.0,1.0,16.0,1.0,0.0,2.0,144200.0
0,4883741,20510,73.0,1.0,15.0,1.0,0.0,2.0,41964.0
0,4883742,20510,73.0,1.0,15.0,1.0,0.0,2.0,41964.0
0,4719911,20510,53.0,1.0,15.0,4.0,0.0,4.0,44200.0
0,4785452,20510,60.0,1.0,14.0,9.0,0.0,3.0,29022.0
0,4850991,20510,87.0,1.0,16.0,8.0,0.0,1.0,44000.0
0,4850992,20510,87.0,1.0,16.0,8.0,0.0,1.0,44000.0
0,4719921,20510,64.0,1.0,16.0,1.0,40.0,2.0,405492.0
0,4883761,20510,60.0,1.0,15.0,1.0,50.0,2.0,0.0
0,4883762,20510,60.0,1.0,15.0,1.0,50.0,2.0,0.0
0,4851001,20510,58.0,1.0,11.0,1.0,0.0,2.0,0.0
0,4851002,20510,58.0,1.0,11.0,1.0,0.0,2.0,0.0
0,4719932,20510,36.0,1.0,15.0,1.0,45.0,2.0,122169.0
0,4785482,20510,44.0,1.0,15.0,8.0,40.0,1.0,42488.0
0,4982091,20510,66.0,1.0,16.0,8.0,50.0,1.0,126500.0
0,4982092,20510,66.0,1.0,16.0,8.0,50.0,1.0,126500.0
0,4851031,20510,44.0,1.0,15.0,9.0,40.0,4.0,1430.0
0,4851032,20510,44.0,1.0,15.0,9.0,40.0,4.0,1430.0
0,4883811,20510,70.0,1.0,16.0,9.0,0.0,5.0,31695.0
0,4883812,20510,70.0,1.0,16.0,9.0,0.0,5.0,31695.0
0,4851051,20510,47.0,1.0,12.0,3.0,0.0,3.0,22250.0
0,4851052,20510,47.0,1.0,12.0,3.0,0.0,3.0,22250.0
0,4719982,20510,46.0,1.0,15.0,4.0,29.0,5.0,283151.0
0,4785521,20510,67.0,1.0,16.0,1.0,0.0,2.0,73424.0
0,4982131,20510,60.0,1.0,16.0,1.0,0.0,2.0,31000.0
0,4785531,20510,78.0,1.0,15.0,4.0,0.0,3.0,26396.0
0,4982141,20510,57.0,1.0,14.0,8.0,34.0,1.0,30000.0
0,4720002,20510,65.0,1.0,13.0,1.0,45.0,2.0,80000.0
0,4785541,20510,54.0,1.0,15.0,9.0,50.0,4.0,17000.0
0,4785542,20510,54.0,1.0,15.0,9.0,50.0,4.0,17000.0
0,4982152,20510,55.0,1.0,16.0,3.0,48.0,3.0,404700.0
0,4720011,20510,32.0,1.0,15.0,1.0,0.0,2.0,0.0
